"","Date","Open","High","Low","Close","Vol","Cap"
"1","Jul 03, 2019","10818.1558221","11968.0776971","10818.1558221","11961.2693412","30796494293.8","2.12867079175e+11"
"2","Jul 02, 2019","10588.6836947","10912.1886159","9737.88454398","10801.6779238","31015895223.0","1.92206536806e+11"
"3","Jul 01, 2019","10796.9306183","11206.4398606","10089.3143739","10583.1345195","29378589324.4","1.88297637574e+11"
"4","Jun 30, 2019","11931.990728","12178.3833598","10799.0085788","10817.1555981","27256473494.5","1.9244206581e+11"
"5","Jun 29, 2019","12400.7636934","12400.910221","11508.3784271","11959.3709764","29923961127.8","2.1273971311e+11"
"6","Jun 28, 2019","11162.1678255","12445.1752203","10914.4948615","12407.331998","35087757765.9","2.20681459666e+11"
"7","Jun 27, 2019","13017.1248668","13311.1443049","10491.8523044","11182.8062855","39977475222.6","1.98878940964e+11"
"8","Jun 26, 2019","11778.5811328","13796.4890807","11755.597775","13016.2317442","45105733173.2","2.31462117209e+11"
"9","Jun 25, 2019","11007.2020736","11790.916533","11007.2020736","11790.916533","24879684533.0","2.0964794336e+11"
"10","Jun 24, 2019","10853.7438384","11065.8960178","10610.4280819","11011.1024485","19271652364.9","1.95762668679e+11"
"11","Jun 23, 2019","10696.6909289","11246.1441834","10556.095932","10855.3710156","20998326502.0","1.92970090355e+11"
"12","Jun 22, 2019","10175.9239561","11157.3455164","10107.0352041","10701.691013","29995204860.6","1.90214124824e+11"
"13","Jun 21, 2019","9525.07460809","10144.5567168","9525.07460809","10144.5567168","20624008643.4","1.80293241528e+11"
"14","Jun 20, 2019","9273.06078283","9594.42027595","9232.48426293","9527.16035008","17846823783.9","1.69304784791e+11"
"15","Jun 19, 2019","9078.72760253","9299.62104446","9070.39599386","9273.52176614","15546809946.0","1.64780855869e+11"
"16","Jun 18, 2019","9335.46690152","9348.37442796","9004.90174624","9081.76285149","15848210535.5","1.61353637186e+11"
"17","Jun 17, 2019","8988.92370914","9416.40744016","8988.92370914","9320.35218253","15562951918.8","1.65573372261e+11"
"18","Jun 16, 2019","8841.44078361","9335.86694232","8814.55645906","8994.48801293","23348550311.0","1.5976942337e+11"
"19","Jun 15, 2019","8689.74641372","8859.12746691","8618.39596373","8838.37523367","18371033226.5","1.56982138835e+11"
"20","Jun 14, 2019","8230.89877378","8710.63642127","8183.39293312","8693.83281543","19831162906.0","1.54398880249e+11"
"21","Jun 13, 2019","8145.54523047","8311.56742951","8087.06116595","8230.92383068","18669407147.4","1.46160317148e+11"
"22","Jun 12, 2019","7925.43410401","8196.64825685","7862.3597896","8145.85747373","19034432883.4","1.44634684711e+11"
