"","Date","Open","High","Low","Close","Vol","Cap"
"1","Jul 03, 2019","1.9e-05","1.9e-05","1.9e-05","1.9e-05",".","292448.42826"
"2","Jul 02, 2019","1.9e-05","1.9e-05","1.9e-05","1.9e-05",".","292448.428256"
"3","Jul 01, 2019","1.9e-05","1.9e-05","1.9e-05","1.9e-05","0.117575","292448.428247"
"4","Jun 30, 2019","1.9e-05","1.9e-05","1.9e-05","1.9e-05",".","292448.428244"
"5","Jun 29, 2019","1.9e-05","1.9e-05","1.9e-05","1.9e-05",".","292448.428242"
"6","Jun 28, 2019","1.9e-05","2e-05","1.9e-05","1.9e-05","1.25681","292448.428239"
"7","Jun 27, 2019","1.903e-05","1.903e-05","1.9e-05","1.9e-05","1.51706","292448.428236"
"8","Jun 26, 2019","1.9e-05","1.903e-05","1.9e-05","1.903e-05","0.717003","292910.18891"
"9","Jun 25, 2019","1.9e-05","1.9e-05","1.9e-05","1.9e-05","0.23357","292448.428233"
"10","Jun 24, 2019","1.903e-05","1.903e-05","1.9e-05","1.9e-05","3.17179","292448.42823"
"11","Jun 23, 2019","2e-05","2e-05","1.903e-05","1.903e-05","1.89645","292910.188901"
"12","Jun 22, 2019","2e-05","2e-05","2e-05","2e-05","2.45062","307840.45076"
"13","Jun 21, 2019","2e-05","2e-05","2e-05","2e-05","1.88754","307840.450749"
"14","Jun 20, 2019","2e-05","2e-05","2e-05","2e-05",".","307840.450746"
"15","Jun 19, 2019","2.596e-05","2.596e-05","1.9e-05","2e-05","57.3635","307840.450742"
"16","Jun 18, 2019","2.618e-05","2.618e-05","2.256e-05","2.596e-05","126.366","399576.90506"
"17","Jun 17, 2019","2.618e-05","2.618e-05","2.618e-05","2.618e-05",".","402963.150014"
"18","Jun 16, 2019","2.618e-05","2.618e-05","2.618e-05","2.618e-05",".","402963.150009"
"19","Jun 15, 2019","2.618e-05","2.618e-05","2.618e-05","2.618e-05",".","402963.150005"
"20","Jun 14, 2019","2.66e-05","2.66e-05","2.618e-05","2.618e-05","2.62064","402963.150003"
"21","Jun 13, 2019","2.66e-05","2.66e-05","2.66e-05","2.66e-05",".","409427.799464"
"22","Jun 12, 2019","2.66e-05","2.66e-05","2.66e-05","2.66e-05",".","409427.79946"
"23","Jun 11, 2019","2.66e-05","2.66e-05","2.66e-05","2.66e-05",".","409427.799456"
"24","Jun 10, 2019","2.66e-05","2.66e-05","2.66e-05","2.66e-05",".","409427.799451"
"25","Jun 09, 2019","2.66e-05","2.66e-05","2.66e-05","2.66e-05",".","409427.799447"
"26","Jun 08, 2019","2.66e-05","2.66e-05","2.66e-05","2.66e-05",".","409427.799444"
"27","Jun 07, 2019","2.66e-05","2.66e-05","2.66e-05","2.66e-05",".","409427.799441"
"28","Jun 06, 2019","2.661e-05","2.661e-05","2.66e-05","2.66e-05","1.33","409427.799437"
"29","Jun 05, 2019","2.661e-05","2.661e-05","2.661e-05","2.661e-05",".","409581.719658"
"30","Jun 04, 2019","2.661e-05","2.661e-05","2.661e-05","2.661e-05",".","409581.719653"
"31","Jun 03, 2019","2.661e-05","2.661e-05","2.661e-05","2.661e-05",".","409581.719649"
"32","Jun 02, 2019","3.002e-05","3.002e-05","2.661e-05","2.661e-05","2.85363","409581.719645"
