"","Date","Open","High","Low","Close","Vol","Cap"
"1","Oct 10, 2018","0.0155342","0.0155348","0.0155199","0.0155276","10.7752","73014.5823883"
"2","Oct 09, 2018","0.0146296","0.0156392","0.0145905","0.0155872","10.8165","73294.8355246"
"3","Oct 08, 2018","0.015479","0.0185581","0.0145788","0.0145788","149.491","68553.0624173"
"4","Oct 07, 2018","0.0190849","0.0191351","0.0150763","0.015408","591.505","72452.1299305"
"5","Oct 06, 2018","0.0191361","0.0198692","0.0190144","0.0190144","136.425","89410.1992041"
"6","Oct 05, 2018","0.0194559","0.0198042","0.017361","0.0173756","250.924","81704.0234172"
"7","Oct 04, 2018","0.0195612","0.0198771","0.0195021","0.0197195","5.76119","92725.520913"
"8","Oct 03, 2018","0.0195113","0.0195638","0.0192214","0.0195381","51.8649","91872.4964512"
"9","Oct 02, 2018","0.0185399","0.0197787","0.0185016","0.0195016","89.1873","91700.8153896"
"10","Oct 01, 2018","0.019865","0.0200601","0.0184885","0.0185925","11.2633","87425.9817114"
"11","Sep 30, 2018","0.0197318","0.0199585","0.0197055","0.0199245","66.7592","93689.2877955"
"12","Sep 29, 2018","0.0172368","0.0172368","0.0168778","0.0171001","11.0296","80408.3077316"
"13","Sep 28, 2018","0.0181628","0.0184699","0.0170508","0.0172479","19.7489","81103.2511204"
"14","Sep 27, 2018","0.0172846","0.0182672","0.0171684","0.0181588","11.9276","85386.450033"
"15","Sep 26, 2018","0.019262","0.0224321","0.0155333","0.0172635","1100.5","81176.5248825"
"16","Sep 25, 2018","0.0212595","0.0212687","0.018428","0.0192932","37.4992","90720.5427781"
"17","Sep 24, 2018","0.0247026","0.0247789","0.0208872","0.0212834","856.602","100078.810188"
"18","Sep 23, 2018","0.0281744","0.0282242","0.0245874","0.0246965","194.16","116127.832093"
"19","Sep 22, 2018","0.025366","0.0282074","0.0245352","0.0281604","172.079","132415.709651"
"20","Sep 21, 2018","0.024027","0.0302315","0.0239929","0.0253463","710.232","119183.19875"
"21","Sep 20, 2018","0.029393","0.0295492","0.0239112","0.0240201","780.215","112947.091696"
"22","Sep 19, 2018","0.0280146","0.0298233","0.0252953","0.0293801","546.74","138150.760126"
"23","Sep 18, 2018","0.0256304","0.0348462","0.0253016","0.0279988","4783.19","131653.198073"
"24","Sep 17, 2018","0.0266344","0.0312484","0.0254834","0.0256278","60.0183","120504.357366"
"25","Sep 16, 2018","0.0268228","0.0295702","0.026349","0.0265689","12.9875","124929.304116"
"26","Sep 15, 2018","0.0265483","0.0270222","0.026493","0.0267476","28.2729","125769.51101"
"27","Sep 14, 2018","0.0265223","0.0267525","0.0263507","0.0265838","1035.31","124999.225489"
"28","Sep 13, 2018","0.0259393","0.0266695","0.0259393","0.0264123","15.014","124192.60795"
"29","Sep 12, 2018","0.0232951","0.0259534","0.0230375","0.0259169","742.897","121863.157358"
"30","Sep 11, 2018","0.0210594","0.0233931","0.0208838","0.0232922","93.0673","109521.559159"
"31","Sep 10, 2018","0.0252919","0.0256683","0.0203211","0.0210243","774.477","98857.697468"
"32","Sep 09, 2018","0.019678","0.0351241","0.0196285","0.0253058","282.09","118989.550448"
"33","Sep 08, 2018","0.0201464","0.036125","0.0195828","0.0196873","403.299","92570.9474261"
"34","Sep 07, 2018","0.017815","0.0211578","0.0177601","0.0201216","519.673","94613.0128147"
"35","Sep 06, 2018","0.0188697","0.0450245","0.0174806","0.0178345","2766.42","83858.8676447"
"36","Sep 05, 2018","0.0200194","0.020082","0.0188363","0.0188363","592.725","88569.3529936"
"37","Sep 04, 2018","0.0214115","0.0214214","0.0191323","0.0200029","23.5906","94054.7297311"
"38","Sep 03, 2018","0.0182194","0.0183476","0.0179963","0.0181089","87.1157","85148.9969703"
"39","Sep 02, 2018","0.0214258","0.0218019","0.0181431","0.0182237","516.201","85688.7530628"
"40","Sep 01, 2018","0.0208392","0.0216181","0.0208294","0.021416","32.0912","100699.055756"
"41","Aug 31, 2018","0.0195142","0.0209111","0.0193538","0.0208645","66.0176","98105.8292052"
"42","Aug 30, 2018","0.0190207","0.0195494","0.0188254","0.019495","3.83542","91666.3356585"
"43","Aug 29, 2018","0.0190209","0.0191034","0.0188292","0.0190102","292.167","89386.7143203"
"44","Aug 28, 2018","0.0170058","0.0176058","0.0169794","0.0175638","4.39094","82585.4782362"
"45","Aug 27, 2018","0.0175309","0.0175946","0.0166321","0.0170392","343.046","80118.7406828"
"46","Aug 24, 2018","0.0159607","0.0162287","0.0158379","0.0161967","139.726","76157.042547"
"47","Aug 23, 2018","0.0154734","0.0174229","0.0154447","0.015948","263.854","74987.6242867"
"48","Aug 22, 2018","0.0155138","0.0155794","0.0152927","0.0154696","5.94559","72738.1534601"
"49","Aug 21, 2018","0.0156993","0.0158142","0.0156969","0.0158038","115.465","74309.5006939"
"50","Aug 20, 2018","0.015565","0.0163326","0.015565","0.0157223","114.869","73926.2865288"
"51","Aug 19, 2018","0.015945","0.0161069","0.0148084","0.0155905","61.4857","73306.5312678"
"52","Aug 18, 2018","0.0164755","0.016527","0.0155055","0.0159398","7.34041","74948.9077832"
"53","Aug 17, 2018","0.016556","0.0170895","0.0160559","0.0164377","55.875","77289.9937727"
"54","Aug 16, 2018","0.0137416","0.0190433","0.0136541","0.0165547","86.4636","77840.0907543"
"55","Aug 15, 2018","0.0136951","0.0144541","0.0136951","0.013761","86.0547","64704.0978993"
"56","Aug 14, 2018","0.0150341","0.0150341","0.0131024","0.0137062","103.276","64446.3955564"
"57","Aug 13, 2018","0.0196659","0.0201953","0.0135585","0.0150479","100.33","70755.0182256"
"58","Aug 12, 2018","0.0194544","0.0197658","0.0192711","0.0196729","19.6804","92501.6534916"
"59","Aug 11, 2018","0.0185975","0.0201094","0.00823814","0.0195129","406.183","91749.2895022"
"60","Aug 10, 2018","0.0203373","0.0204317","0.0186153","0.0186153","152.812","87528.7255545"
