"","Date","Open","High","Low","Close","Vol","Cap"
"1","Jul 03, 2019","5.95465250619e-06","9.4499951365e-06","5.63130086938e-06","8.25173999167e-06","796.051215867","4448486.13346"
"2","Jul 02, 2019","1.149426918e-05","1.64683463138e-05","5.76919893521e-06","5.95476575906e-06","772.336637508","3210194.81151"
"3","Jul 01, 2019","5.40317824648e-06","1.20732278757e-05","2.71451424284e-06","1.14904015885e-05","502.534346286","6194438.04408"
"4","Jun 30, 2019","4.8459047091e-06","5.75777518789e-06","2.92518201027e-06","5.41605028307e-06","2258.71954804","2919775.05431"
"5","Jun 29, 2019","4.68195606239e-06","4.9315083619e-06","3.25116134195e-06","4.84877935529e-06","1350.78310297","2613961.14613"
"6","Jun 28, 2019","4.93262602454e-06","5.14322045724e-06","2.65445667416e-06","4.68172143541e-06","1454.90094356","2523900.76604"
"7","Jun 27, 2019","5.25833708126e-06","5.29618622521e-06","3.28864629352e-06","4.93262602454e-06","9443.10822887","2659162.61223"
"8","Jun 26, 2019","4.14340848682e-06","5.62129360539e-06","3.40709719481e-06","5.25922768288e-06","2714.36317408","2835232.5017"
"9","Jun 25, 2019","3.14891777101e-06","4.41726006678e-06","2.67748623493e-06","4.1430677043e-06","2297.36524265","2233514.29531"
"10","Jun 24, 2019","2.79228658817e-06","3.68957320464e-06","2.58221036467e-06","3.14825940258e-06","3110.34467445","1697216.38237"
"11","Jun 23, 2019","2.75029817806e-06","2.9234275379e-06","2.41607851756e-06","2.79321589416e-06","737.45486539","1505813.58422"
"12","Jun 22, 2019","2.91467942571e-06","3.01732470442e-06","2.59083264134e-06","2.747371167e-06","413.287915039","1481098.84124"
"13","Jun 21, 2019","2.73747848573e-06","2.94227073139e-06","2.64953672557e-06","2.91467942571e-06","3213.1273719","1571294.17818"
"14","Jun 20, 2019","3.37011285871e-06","4.45386089278e-06","2.36523716327e-06","2.73641406519e-06","10462.4282214","1475191.90337"
"15","Jun 19, 2019","4.28544856001e-06","4.69426339603e-06","2.7701685106e-06","3.37348094896e-06","815.016169738","1818632.58393"
"16","Jun 18, 2019","3.82895893044e-06","4.64538062887e-06","2.79492479151e-06","4.28433251814e-06","18205.675747","2309669.696"
"17","Jun 17, 2019","3.20159475406e-06","4.89279719389e-06","3.09636717486e-06","3.82932378892e-06","1194.44148168","2064375.97316"
"18","Jun 16, 2019","4.18159856471e-06","4.74448834513e-06","3.19828893799e-06","3.20230409397e-06","8741.29260435","1726351.69934"
"19","Jun 15, 2019","1.43256585529e-05","1.57243864146e-05","3.64196329235e-06","4.18159856471e-06","2252.612227","2254286.15657"
"20","Jun 14, 2019","5.68563569785e-06","1.46664644016e-05","4.30000759553e-06","1.43001458786e-05","1698.2712827","7709162.03268"
"21","Jun 13, 2019","5.03611403856e-06","6.06568652421e-06","4.79012860815e-06","5.6910309242e-06","685.606304508","3068016.22166"
"22","Jun 12, 2019","5.91761946779e-06","5.93163993181e-06","4.36282627135e-06","5.03514481871e-06","630.8199341","2714430.16001"
"23","Jun 11, 2019","4.87164473086e-06","8.01364330965e-06","4.86182257097e-06","5.91761946779e-06","1043.98097891","3190169.36696"
"24","Jun 10, 2019","6.46311137916e-06","6.61032885391e-06","4.75561076314e-06","4.86975573427e-06","1058.70392441","2625269.44367"
"25","Jun 09, 2019","6.18857475381e-06","6.5553254573e-06","4.5680058781e-06","6.46311137916e-06","16012.5206111","3484242.27838"
"26","Jun 08, 2019","6.76847254977e-06","7.13265578409e-06","6.07826566389e-06","6.18692405148e-06","1488.80828587","3335350.59024"
"27","Jun 07, 2019","4.99927541715e-06","6.83839964402e-06","4.98167033913e-06","6.77495505187e-06","7116.62445801","3652356.1859"
"28","Jun 06, 2019","4.8881416847e-06","5.13433313452e-06","4.83210784899e-06","4.99934885659e-06","575.158641066","2695132.67351"
"29","Jun 05, 2019","5.88939560198e-06","1.38909514762e-05","4.79185217202e-06","4.88375418651e-06","587.613406309","2632815.96364"
"30","Jun 04, 2019","5.57140220849e-06","6.0717786646e-06","5.19554467107e-06","5.88450020472e-06","717.249283019","3172314.88019"
"31","Jun 03, 2019","6.23024410492e-06","6.23024410492e-06","5.39222668004e-06","5.57633229805e-06","733.256817717","3006182.56616"
"32","Jun 02, 2019","6.00096301689e-06","6.35520733929e-06","5.4597311395e-06","6.23443363966e-06","659.149244172","3360962.85438"
"33","Jun 01, 2019","6.84548572327e-06","7.93917817276e-06","5.61291978725e-06","6.00178458512e-06","954.726606302","3235542.50738"
"34","May 31, 2019","5.22802411647e-06","6.9345297949e-06","5.16984801834e-06","6.84179236366e-06","2768.78156025","3688387.96284"
"35","May 30, 2019","6.14482301404e-06","7.27493334116e-06","5.14920783453e-06","5.22802411647e-06","1344.7692674","2818410.76076"
"36","May 29, 2019","6.10159135506e-06","7.25813714438e-06","5.9536395398e-06","6.1420543508e-06","2644.37754147","3311161.48086"
"37","May 28, 2019","6.78051957945e-06","7.42449430414e-06","6.05149538765e-06","6.10369633073e-06","809.491045562","3290482.79726"
"38","May 27, 2019","6.97135083532e-06","7.55054660984e-06","6.71962017832e-06","6.78704139964e-06","1120.95541558","3658871.89659"
"39","May 26, 2019","7.23463966695e-06","7.25319963263e-06","6.57662330142e-06","6.9707271518e-06","1470.89548584","3757896.28687"
"40","May 25, 2019","8.83844138449e-06","8.86505546682e-06","6.20921005456e-06","7.24601360084e-06","1904.64519996","3906302.31427"
"41","May 24, 2019","7.39803211388e-06","9.71762118591e-06","7.38571733951e-06","8.83844138449e-06","3107.22440948","4764774.94201"
"42","May 23, 2019","7.96955151885e-06","8.02282824966e-06","6.35943656661e-06","7.40066427421e-06","2453.2824687","3989673.9882"
"43","May 22, 2019","8.95525898298e-06","1.02165357417e-05","7.43534676569e-06","7.9857946637e-06","1785.43385535","4305115.87398"
"44","May 21, 2019","8.54952901984e-06","9.04966929267e-06","7.3715535768e-06","8.96074547033e-06","4974.35236207","4830708.67604"
"45","May 20, 2019","9.55053857785e-06","1.12783245264e-05","7.6543357562e-06","8.55004642337e-06","1635.22344743","4609302.15847"
"46","May 19, 2019","7.77628975511e-06","9.6272331083e-06","7.38114326906e-06","9.55465642049e-06","9582.18467648","5150884.13346"
"47","May 18, 2019","7.91818698547e-06","8.14168121568e-06","7.53541192056e-06","7.77669227435e-06","1711.30544057","4192389.45744"
"48","May 17, 2019","8.24949088364e-06","8.31588508773e-06","7.03623442516e-06","7.91818698547e-06","1309.90257166","4268668.79501"
"49","May 16, 2019","9.02712514228e-06","1.07358618229e-05","7.94717166169e-06","8.24598501924e-06","14268.1759469","4445383.64658"
"50","May 15, 2019","8.828606776e-06","2.12278544205e-05","7.96210195774e-06","9.03386696869e-06","4195.06525602","4870128.23747"
"51","May 14, 2019","8.61469208143e-06","9.28609121577e-06","7.24493892592e-06","8.86184197966e-06","2118.09467087","4777390.12659"
"52","May 13, 2019","1.05141101366e-05","2.26067869687e-05","8.46147213127e-06","8.61186234883e-06","659.975479389","4642626.9224"
"53","May 12, 2019","6.79588408055e-06","1.05142486246e-05","6.57872003213e-06","1.05120875587e-05","2606.38672273","5667032.13938"
"54","May 11, 2019","1.31848566113e-05","1.37428948541e-05","6.50154534015e-06","6.79302651618e-06","779.82617771","3662098.45341"
"55","May 10, 2019","6.07894081716e-06","1.34701278235e-05","5.80565341493e-06","1.31843970549e-05","441.164430046","7107665.47854"
