"","Date","Open","High","Low","Close","Vol","Cap"
"1","Jul 03, 2019","1.62202969527e-05","2.05261307809e-05","1.62202969527e-05","2.03253266589e-05","3746.27487573","."
"2","Jul 02, 2019","1.58373741469e-05","1.85046738882e-05","1.46746122613e-05","1.62204782084e-05","1509.9106618","."
"3","Jul 01, 2019","1.71937321316e-05","1.78686591548e-05","1.50884463465e-05","1.58373741469e-05","727.152219211","."
"4","Jun 30, 2019","1.78994598688e-05","1.85896997847e-05","1.54718118195e-05","1.71763622826e-05","1575.49364973","."
"5","Jun 29, 2019","1.98173997582e-05","1.98363116948e-05","1.74581065464e-05","1.79054778958e-05","1266.13436348","."
"6","Jun 28, 2019","1.83834318179e-05","1.98658151509e-05","1.7470132623e-05","1.98173997582e-05","1404.34845584","."
"7","Jun 27, 2019","1.81913893931e-05","2.05338466749e-05","1.66518004882e-05","1.83834318179e-05","1747.16899232","."
"8","Jun 26, 2019","1.87523248042e-05","2.06397665388e-05","1.64020592385e-05","1.81834594776e-05","3060.75681003","."
"9","Jun 25, 2019","1.87153622592e-05","2.01186630215e-05","1.77492317563e-05","1.87493248458e-05","2418.7342477","."
"10","Jun 24, 2019","1.84260675065e-05","1.88260635429e-05","1.70044918813e-05","1.870981642e-05","1346.21165462","."
"11","Jun 23, 2019","1.71204928596e-05","1.91912325942e-05","1.69263279913e-05","1.84194358485e-05","3530.61990183","."
"12","Jun 22, 2019","1.82358331686e-05","2.10793253393e-05","1.68266492387e-05","1.71176467042e-05","3670.60685818","."
"13","Jun 21, 2019","1.80859712038e-05","1.85222069802e-05","1.68566322893e-05","1.82358331686e-05","2496.10202133","."
"14","Jun 20, 2019","1.47407707113e-05","1.85595284409e-05","1.47188552869e-05","1.80730203793e-05","5607.79724774","."
"15","Jun 19, 2019","1.8136766489e-05","1.85612943684e-05","1.47297461958e-05","1.4740950376e-05","3764.07752365","."
"16","Jun 18, 2019","1.67965993412e-05","2.0111786066e-05","1.57247857065e-05","1.81245078138e-05","3785.40576167","."
"17","Jun 17, 2019","1.70739735753e-05","1.86522389556e-05","1.64626776304e-05","1.67965993412e-05","1961.12721459","."
"18","Jun 16, 2019","1.67827444177e-05","1.83490547103e-05","1.67239820063e-05","1.70592134533e-05","722.808557","."
"19","Jun 15, 2019","1.7356028688e-05","1.91205505237e-05","1.63635036855e-05","1.67827444177e-05","3291.35320182","."
"20","Jun 14, 2019","1.64395192241e-05","1.74170851733e-05","1.56987169844e-05","1.73576310299e-05","4590.25037139","."
"21","Jun 13, 2019","1.63289453875e-05","1.8475685266e-05","1.54333094902e-05","1.64324628797e-05","2409.99492131","."
"22","Jun 12, 2019","1.8916602024e-05","2.08640795538e-05","1.58133771966e-05","1.63731012204e-05","553.647486092","."
"23","Jun 11, 2019","1.5773621279e-05","2.06339071667e-05","1.38630993779e-05","1.8916602024e-05","1532.23407077","."
"24","Jun 10, 2019","1.51753826306e-05","1.5905649033e-05","1.49284548864e-05","1.5773621279e-05",".","."
