"","Date","Open","High","Low","Close","Vol","Cap"
"1","Feb 09, 2018","713.458984375","747.028991699","672.45098877","738.385986328","3691.92993164","43345473.358"
"2","Feb 08, 2018","554.505004883","748.893981934","554.505004883","710.815002441","3554.07006836","41726972.945"
"3","Feb 07, 2018","609.583984375","699.585021973","551.966003418","559.846008301","6718.16015625","32864639.738"
"4","Feb 06, 2018","466.649993896","618.711975098","387.295013428","611.510986328","17733.8007812","35897530.233"
"5","Feb 05, 2018","642.211975098","645.616027832","450.647003174","466.140991211","3729.12988281","27363875.123"
"6","Feb 04, 2018","739.523986816","748.92199707","617.523010254","643.070983887","1929.20996094","37750196.913"
"7","Feb 03, 2018","547.732971191","774.950012207","543.156005859","734.455993652","2203.37011719","43114770.568"
"8","Feb 02, 2018","581.21697998","581.21697998","440.013000488","547.25201416","12586.7998047","32125334.156"
"9","Feb 01, 2018","854.70501709","866.098999023","546.75201416","586.645019531","2933.2199707","34437821.435"
"10","Jan 31, 2018","819.349975586","885.684997559","769.112976074","853.844970703","853.844970703","50123263.035"
"11","Jan 30, 2018","996.95098877","996.95098877","821.369995117","821.369995117","14784.7001953","48216883.11"
"12","Jan 29, 2018","934.965026855","992.802978516","900.20501709","992.802978516","6949.62011719","58280514.509"
"13","Jan 28, 2018","816.333007812","942.447998047","793.586975098","934.718994141","934.718994141","54870809.457"
"14","Jan 27, 2018","794.062011719","827.888000488","759.799987793","814.875976562","2444.62988281","47835665.828"
"15","Jan 26, 2018","989.12701416","1021.03997803","981.616027832","1001.78997803","1001.78997803","58808078.37"
"16","Jan 25, 2018","1047.09997559","1065.35998535","953.926025391","987.208984375","987.208984375","57952129.927"
"17","Jan 24, 2018","1022.20001221","1068.80004883","785.401977539","1045.69995117","1045.69995117","61385727.1"
"18","Jan 23, 2018","1154.64001465","1154.64001465","933.851013184","1019.5","59131.1015625","59847708.5"
"19","Jan 22, 2018","967.521972656","1276.23999023","928.867004395","1145.27001953","1145.27001953","67230784.81"
