"","Date","Open","High","Low","Close","Vol","Cap"
"1","May 03, 2015","4.69860015073e-06","4.86479984829e-06","4.68165990242e-06","4.81449978906e-06","892.078979492","27436.3078958"
"2","May 02, 2015","6.96230017638e-06","7.0633800533e-06","4.65419998363e-06","4.70050008516e-06","870.958984375","26786.6580671"
"3","May 01, 2015","7.08429979568e-06","7.12334986019e-06","4.69619999421e-06","6.96459983374e-06","47.26720047","39689.0455854"
"4","Apr 30, 2015","4.51610003438e-06","7.18688988854e-06","4.51130017609e-06","7.07990011506e-06","138.576004028","40346.1037016"
"5","Apr 29, 2015","6.7756000135e-06","6.81119990986e-06","4.50845982414e-06","4.51999994766e-06","93.1156997681","25758.0458384"
"6","Apr 28, 2015","6.87849978931e-06","6.88484988132e-06","4.4613798309e-06","6.77239995639e-06","113.767997742","38593.758769"
"7","Apr 27, 2015","4.38859979113e-06","6.99915017321e-06","4.37590006186e-06","6.87649981046e-06","40.1124992371","39186.9916389"
"8","Apr 26, 2015","6.79169988871e-06","6.80831999489e-06","4.3578597797e-06","4.38779989054e-06","8.69530963898","25004.6799844"
"9","Apr 25, 2015","6.93799984219e-06","6.97682980899e-06","4.55077997685e-06","6.79440017848e-06","50.4846992493","38719.1297886"
"10","Apr 24, 2015","7.09379992259e-06","7.09385994924e-06","6.89798980602e-06","6.93640004101e-06","135.434997559","39528.342733"
"11","Apr 23, 2015","7.02519992046e-06","7.09425012246e-06","4.66397978016e-06","7.09420010025e-06","0.682084023952","40427.5948643"
"12","Apr 22, 2015","7.03990008333e-06","7.13727013135e-06","7.00428017808e-06","7.01640010448e-06","0.220315992832","39984.2373496"
"13","Apr 21, 2015","6.73869999446e-06","6.78251990394e-06","6.72902979204e-06","6.74530019751e-06","0.195446997881","38439.3244676"
"14","Apr 20, 2015","4.45200021204e-06","6.75359979141e-06","4.43954013463e-06","6.73929980621e-06","7.09400987625","38405.1323714"
"15","Apr 19, 2015","4.45370005764e-06","4.46812009613e-06","4.45207979283e-06","4.45200021204e-06","3.86048007011","25370.5354143"
"16","Apr 18, 2015","6.68639995638e-06","6.72947999192e-06","6.62628008286e-06","6.67740005156e-06","0.186028003693","38052.3839118"
"17","Apr 17, 2015","6.85709983372e-06","6.86718021825e-06","4.43883982371e-06","6.68849997965e-06","1.35385000706","38115.6392898"
"18","Apr 16, 2015","6.71489988235e-06","6.89015996613e-06","4.58916019852e-06","6.8583999564e-06","268.769012451","39083.8454818"
"19","Apr 15, 2015","6.57469990983e-06","6.70967983751e-06","4.38838014816e-06","6.70959980198e-06","70.1258010864","38235.881495"
"20","Apr 14, 2015","6.73759996062e-06","6.74928014632e-06","4.40131998403e-06","6.57479995425e-06","21.1289997101","37467.699066"
"21","Apr 13, 2015","4.71349994768e-06","7.04943022356e-06","4.48338005299e-06","6.74430020808e-06","483.881988525","38433.6257849"
"22","Apr 12, 2015","7.09650021236e-06","7.13183999324e-06","7.00484997651e-06","7.10460017217e-06","0.236228004098","40486.8611645"
"23","Apr 11, 2015","4.72139981866e-06","7.12791006663e-06","4.6834998102e-06","7.09910000296e-06","0.236045002937","40455.5184096"
"24","Apr 10, 2015","4.87350007461e-06","4.87352008349e-06","4.65542007078e-06","4.7175999498e-06","4.926030159","26884.1055414"
"25","Apr 09, 2015","4.9004001994e-06","4.92235994898e-06","4.78799984194e-06","4.87480019729e-06","22.4419994354","27779.938463"
"26","Apr 08, 2015","7.59539989303e-06","7.61541014072e-06","4.88429986945e-06","4.90159982292e-06","1.27541995049","27932.6631596"
