"","Date","Open","High","Low","Close","Vol","Cap"
"1","Mar 20, 2015","246.772994995","247.375","219.934005737","222.501998901","44.5004005432","11837.1064"
"2","Mar 19, 2015","242.483001709","256.597991943","236.524002075","247.195007324","321.354003906","13150.774"
"3","Mar 18, 2015","500.975006104","503.404998779","242.104995728","242.714996338","194.17199707","12912.438"
"4","Mar 17, 2015","515.181030273","516.304992676","490.981994629","500.649993896","50.0649986267","26634.58"
"5","Mar 16, 2015","504.32699585","528.887023926","501.057006836","515.046020508","51.5046005249","27400.4472"
"6","Mar 15, 2015","513.17401123","513.17401123","497.019012451","504.475006104","50.4474983215","26838.07"
"7","Mar 13, 2015","292.790008545","330.891998291","285.238006592","288.420013428","57.6839981079","15343.944"
"8","Mar 12, 2015","327.139007568","331.657012939","291.045013428","293.032989502","58.6066017151","15589.3556"
"9","Mar 11, 2015","560.294006348","567.997009277","322.358001709","327.105010986","98.131401062","17401.986"
"10","Mar 10, 2015","557.960998535","572.468994141","542.322021484","560.135009766","56.0135002136","29799.182"
"11","Mar 09, 2015","554.218017578","582.594970703","545.999023438","556.736999512","55.6736984253","29618.4084"
"12","Mar 06, 2015","316.856994629","318.356994629","301.890991211","309.332000732","61.8662986755","16456.4624"
"13","Mar 05, 2015","311.895996094","324.006011963","305.320007324","315.847991943","63.1694984436","16803.1136"
"14","Mar 04, 2015","321.531005859","329.031005859","309.365997314","311.466003418","62.2932014465","16569.9912"
"15","Mar 02, 2015","335.5","337.230987549","332.199005127","332.199005127","33.2198982239","17672.9868"
"16","Mar 01, 2015","329.907989502","346.247009277","322.027008057","334.67199707","33.4672012329","17804.5504"
"17","Feb 28, 2015","1349.94995117","1349.94995117","322.595001221","329.841003418","329.841003418","17547.5412"
"18","Feb 27, 2015","571.79699707","1351.45996094","564.906982422","1349.94995117","1214.94995117","72222.325"
"19","Feb 26, 2015","562.247009277","835.809020996","532.007995605","570.87902832","1769.7199707","31683.7845"
"20","Feb 25, 2015","526.12097168","594.526000977","524.70300293","563.383972168","1746.48999023","54986.2784"
"21","Feb 24, 2015","540.382019043","578.817993164","513.669006348","528.361022949","105.67199707","63244.8117"
"22","Feb 23, 2015","484.136993408","612.257995605","480.761993408","532.507995605","426.006011963","66936.2556"
"23","Feb 22, 2015","493.071014404","512.091003418","479.592010498","484.136993408","48.4137001038","61146.5031"
"24","Feb 21, 2015","497.398010254","510.609985352","492.332000732","492.890014648","147.867004395","62252.007"
"25","Feb 20, 2015","475.380004883","503.790985107","475.187011719","497.983001709","49.7983016968","64687.9917"
"26","Feb 19, 2015","472.722991943","507.825012207","465.540008545","476.519989014","47.6520004272","62138.208"
"27","Feb 18, 2015","504.938995361","519.328979492","465.769012451","474.385986328","142.315994263","62286.8818"
"28","Feb 17, 2015","499.196014404","529.546020508","495.70401001","504.511993408","302.707000732","66242.4256"
"29","Feb 16, 2015","542.418029785","608.330993652","490.699005127","501.009002686","50.1008987427","66283.4907"
"30","Feb 15, 2015","577.030029297","591.617004395","538.895019531","543.081970215","923.239013672","72066.9814"
"31","Feb 14, 2015","532.023010254","585.408996582","531.927001953","577.82800293","57.7827987671","77140.038"
"32","Feb 13, 2015","507.390014648","543.99597168","458.722991943","533.101989746","159.930999756","71435.668"
"33","Feb 12, 2015","475.358001709","513.49798584","471.437988281","507.972991943","355.580993652","68068.382"
"34","Feb 11, 2015","473.187988281","510.269012451","464.541992188","476.485992432","381.188995361","64325.61"
"35","Feb 10, 2015","484.785003662","495.088989258","466.518005371","472.308013916","614.0","63761.58"
"36","Feb 09, 2015","500.635009766","503.032989502","479.217987061","485.850006104","48.5849990845","66269.94"
"37","Feb 08, 2015","506.947998047","515.802978516","489.851013184","499.962005615","99.9923019409","68194.8168"
"38","Feb 07, 2015","483.756011963","510.234008789","483.756011963","507.459991455","355.221984863","69217.544"
"39","Feb 06, 2015","458.509002686","503.761993408","447.808013916","483.786987305","145.136001587","66569.0912"
