"","Date","Open","High","Low","Close","Vol","Cap"
"1","Dec 25, 2017","676.17199707","695.854003906","636.791015625","674.302001953","56.1917991638","."
"2","Dec 24, 2017","634.633972168","669.221984863","629.416015625","669.221984863","55.7685012817","."
"3","Dec 17, 2017","934.880981445","958.468017578","905.684020996","924.882995605","289.026000977","."
"4","Dec 16, 2017","930.976989746","942.146972656","925.039978027","934.760009766","292.113006592","."
"5","Dec 14, 2017","769.646972656","801.997009277","760.952026367","779.778015137","165.910003662","."
"6","Dec 13, 2017","259.140014648","772.125976562","259.140014648","772.125976562","246.42300415","."
"7","Dec 12, 2017","264.802001953","266.380004883","258.45199585","258.92401123","17.2616004944","."
"8","Dec 09, 2017","780.664001465","792.231018066","758.075012207","760.070983887","538.383972168","."
"9","Dec 08, 2017","516.67401123","865.283996582","339.653991699","781.45098877","10614.7001953","."
"10","Dec 07, 2017","659.322021484","682.432006836","659.322021484","682.432006836","42.6520004272","."
"11","Dec 06, 2017","570.060974121","661.385986328","569.333984375","660.456970215","41.2785987854","."
"12","Dec 05, 2017","349.687988281","357.511993408","344.804992676","350.846984863","11.694899559","."
"13","Dec 04, 2017","340.338989258","349.00201416","334.502990723","349.00201416","11.6333999634","."
"14","Nov 29, 2017","496.397003174","571.945007324","496.397003174","537.460021973","118.240997314","."
"15","Nov 28, 2017","396.934997559","498.381011963","395.648986816","496.891998291","109.316001892","."
"16","Nov 26, 2017","437.313995361","437.313995361","436.82699585","436.82699585","8.73653030396","."
"17","Nov 25, 2017","410.49798584","437.460998535","408.179992676","437.460998535","8.74921035767","."
"18","Nov 24, 2017","401.851989746","416.947998047","394.188995361","411.32901001","8.22659015656","."
"19","Nov 23, 2017","407.588012695","411.110992432","402.402008057","402.402008057","32.192199707","."
"20","Nov 22, 2017","608.557006836","622.484008789","605.986022949","612.932006836","49.0345993042","."
"21","Nov 21, 2017","329.657989502","617.208984375","311.847991943","607.080993652","48.5665016174","."
"22","Nov 20, 2017","321.735992432","331.397003174","317.886993408","329.596984863","8.23991966248","."
"23","Nov 19, 2017","319.967010498","324.464996338","318.986999512","321.885986328","8.04714012146","."
"24","Nov 15, 2017","280.993011475","307.75201416","280.993011475","306.264007568","36.0311012268","."
"25","Nov 14, 2017","278.17199707","282.316986084","276.321014404","280.800994873","33.0354003906","."
"26","Nov 12, 2017","222.641998291","224.285003662","193.792999268","214.56300354","6.1303601265","."
"27","Nov 11, 2017","235.522003174","235.522003174","218.108001709","222.805999756","6.36588001251","."
"28","Nov 09, 2017","373.371002197","539.171020508","149.712997437","533.107971191","107.336997986","."
"29","Nov 08, 2017","213.48399353","388.138000488","212.214996338","373.756011963","1382.90002441","."
"30","Nov 07, 2017","211.539001465","214.220993042","209.64100647","214.156005859","107.07800293","."
"31","Nov 05, 2017","184.419998169","190.287002563","182.593002319","185.259994507","14.8207998276","."
"32","Nov 04, 2017","373.415985107","377.480010986","184.735992432","184.770004272","22.1723995209","."
"33","Nov 02, 2017","168.214996338","182.789993286","168.214996338","176.658996582","183.725997925","."
"34","Nov 01, 2017","161.098007202","200.100997925","160.188995361","168.027999878","295.729003906","."
"35","Oct 31, 2017","260.430999756","261.169006348","152.382995605","161.216003418","238.600006104","."
"36","Oct 30, 2017","260.00100708","261.319000244","258.959014893","261.319000244","36.8921012878","."
"37","Oct 28, 2017","311.800994873","317.592010498","306.924987793","310.438995361","63.1206016541","."
"38","Oct 27, 2017","324.363006592","330.395996094","310.794006348","310.95199585","63.2251014709","."
"39","Oct 26, 2017","315.117004395","329.742004395","313.899993896","324.287994385","5.88543987274","."
"40","Oct 25, 2017","304.058990479","314.096984863","296.535003662","311.895996094","11.321100235","."
