"","Date","Open","High","Low","Close","Vol","Cap"
"1","Oct 21, 2017","6.83899997966e-07","6.85747011175e-07","6.64321021304e-07","6.79399988712e-07","57.0441017151","45435.7455927"
"2","Oct 20, 2017","5.59400007205e-07","8.93205992725e-07","5.59403986244e-07","6.84200017531e-07","918.476013184","45756.7517435"
"3","Oct 19, 2017","1.1974999552e-06","1.19755998185e-06","4.88495004447e-07","5.5819998579e-07","1953.54003906","37330.3402853"
"4","Oct 18, 2017","1.19280002764e-06","1.25520000438e-06","4.52888002656e-07","1.1989000086e-06","1010.22998047","80177.9737872"
"5","Oct 17, 2017","1.19870003346e-06","1.28981002945e-06","1.19325000014e-06","1.19389994779e-06","593.036987305","79843.5923802"
"6","Oct 16, 2017","1.22960000226e-06","1.39660994591e-06","1.18308003039e-06","1.19820003874e-06","2389.89990234","80131.1603903"
"7","Oct 15, 2017","1.59590001658e-06","1.64158996085e-06","1.20080005672e-06","1.23100005567e-06","1953.72998047","82324.7024206"
"8","Oct 14, 2017","1.26129998534e-06","1.59598005212e-06","1.26138002088e-06","1.59590001658e-06","1486.86999512","106727.857509"
"9","Oct 13, 2017","1.35610002872e-06","1.3986899603e-06","1.19243998142e-06","1.25969995679e-06","1773.42004395","84244.0516972"
"10","Oct 12, 2017","1.51730000653e-06","1.51785002345e-06","1.26545000967e-06","1.3416999991e-06","1909.08996582","89727.9067732"
"11","Oct 11, 2017","1.59809997058e-06","1.65900996763e-06","1.51691995143e-06","1.5181000208e-06","455.350006104","101524.882815"
"12","Oct 10, 2017","1.56930002504e-06","1.73222997546e-06","1.56931002948e-06","1.59410001288e-06","350.70401001","106607.480202"
"13","Oct 09, 2017","1.74390004304e-06","1.74392005192e-06","1.56878002144e-06","1.56889996106e-06","184.11000061","104922.19791"
"14","Oct 08, 2017","1.59280000389e-06","1.7585000478e-06","1.59287003498e-06","1.60779995895e-06","80.3660964966","107523.685257"
"15","Oct 07, 2017","1.82329995368e-06","1.89399997907e-06","1.58527996064e-06","1.59310002346e-06","976.635986328","106540.603921"
"16","Oct 06, 2017","1.63820004673e-06","1.97827989723e-06","1.63824995525e-06","1.8252000018e-06","110.447998047","122062.588837"
"17","Oct 05, 2017","1.8037000018e-06","1.84879002063e-06","1.56320004407e-06","1.64059997587e-06","886.315979004","109717.227288"
"18","Oct 04, 2017","1.92030006474e-06","1.92038010027e-06","1.56885994329e-06","1.80649999493e-06","1345.47998047","120812.002374"
"19","Oct 03, 2017","1.96900009541e-06","2.02915998671e-06","1.82972996754e-06","1.92199991034e-06","963.356018066","128536.212878"
"20","Oct 02, 2017","1.44219995946e-06","2.165000069e-06","1.44224998166e-06","1.97169993044e-06","3645.88989258","131859.964064"
"21","Oct 01, 2017","1.50649998432e-06","1.52574000367e-06","1.4013199916e-06","1.44650005041e-06","806.557983398","96736.5410654"
"22","Sep 30, 2017","1.38240000069e-06","1.51772997015e-06","1.38244001846e-06","1.50589994519e-06","7360.64013672","100708.992181"
"23","Sep 29, 2017","1.40040003771e-06","1.43012005083e-06","1.37780000387e-06","1.39999997373e-06","1636.15002441","93626.7939796"
"24","Sep 28, 2017","1.44529997215e-06","1.45153001085e-06","1.38482005241e-06","1.39930000387e-06","7008.62988281","93579.9805826"
"25","Sep 27, 2017","1.4608000356e-06","1.49234995206e-06","1.43118995766e-06","1.44700004512e-06","1150.02001953","96769.9792061"
"26","Sep 26, 2017","1.39170003877e-06","1.51331005327e-06","1.36190999456e-06","1.47649996052e-06","907.653991699","98742.8295078"
"27","Sep 25, 2017","1.5435999785e-06","1.54362999183e-06","1.30206001359e-06","1.39250005304e-06","1568.77001953","93125.221869"
"28","Sep 24, 2017","1.62670005466e-06","1.63411004905e-06","1.53457995111e-06","1.54689996634e-06","906.682006836","103450.919719"
"29","Sep 23, 2017","1.51639994783e-06","1.65318999734e-06","1.51338997512e-06","1.62660001024e-06","2318.61010742","108780.959348"
