"","Date","Open","High","Low","Close","Vol","Cap"
"1","Jul 03, 2019","86.2389137486","92.0618535295","86.0424896019","90.0017949616","127688764.682","1536394645.79"
"2","Jul 02, 2019","88.4410953614","88.8339296881","82.0118114538","86.2649084897","132861596.934","1472603336.19"
"3","Jul 01, 2019","87.7590757288","93.5831126924","83.8757372089","88.4232234667","132758316.337","1509447307.75"
"4","Jun 30, 2019","100.008923109","100.488363614","87.5348284857","87.7449389586","127287723.243","1497868508.83"
"5","Jun 29, 2019","101.67477962","101.774952511","93.7828664835","99.9621160857","140176877.7","1706417589.29"
"6","Jun 28, 2019","94.4887274995","102.26432455","92.5526082543","101.642360797","156736723.055","1734903690.6"
"7","Jun 27, 2019","103.941981448","105.086678735","87.0795941571","94.4145559747","168991927.613","1611350887.92"
"8","Jun 26, 2019","112.304190444","112.414702186","101.561895432","103.918058892","288013490.973","1773353877.24"
"9","Jun 25, 2019","117.343249523","117.818126429","111.338375223","112.316862267","170290077.845","1916468210.94"
"10","Jun 24, 2019","115.213254192","119.433471675","112.313943594","117.41624955","131784907.932","2003252006.84"
"11","Jun 23, 2019","114.641816606","120.07380355","113.839682117","115.132639058","135554013.896","1964078842.54"
"12","Jun 22, 2019","109.50073544","118.708654748","109.165440921","114.705856934","144831867.349","1956577411.52"
"13","Jun 21, 2019","105.016722277","109.994354943","104.960281239","109.234110474","138943736.268","1863037984.21"
"14","Jun 20, 2019","100.449441035","108.609353706","100.20918864","104.979973799","175272177.84","1790277383.76"
"15","Jun 19, 2019","96.2603714399","102.19372248","96.1750028762","100.407221656","144587433.828","1712105521.99"
"16","Jun 18, 2019","98.3054306237","99.0946559196","95.6846813419","96.2435046233","215721561.926","1640921608.96"
"17","Jun 17, 2019","95.8302070768","99.6927948421","95.820609848","98.3490237224","221680907.696","1676634642.81"
"18","Jun 16, 2019","94.703001976","97.6415189841","94.3564225508","95.8632007443","217991870.32","1634068688.96"
"19","Jun 15, 2019","90.5266645306","95.0303342957","89.9667441559","94.6927681535","229735778.685","1613934876.66"
"20","Jun 14, 2019","89.2982730508","90.762900678","87.3335286071","90.5065525281","230462155.083","1542405341.95"
"21","Jun 13, 2019","90.2063508116","91.6777325826","89.1585826469","89.2607389321","207794231.257","1521007233.15"
"22","Jun 12, 2019","86.6624916372","90.4081562236","85.9564522741","90.1345149864","171933824.035","1535720965.82"
"23","Jun 11, 2019","86.9734632578","87.8447146053","85.4938848078","86.7150051605","143282900.768","1477296747.93"
"24","Jun 10, 2019","83.680046808","87.3886786424","82.6863743014","86.9187910395","138555223.163","1480596731.07"
"25","Jun 09, 2019","87.5609431495","87.9736720416","82.4538605116","83.7841145951","135848271.217","1427027278.67"
"26","Jun 08, 2019","88.305497216","88.7312391165","86.3245756519","87.5440291945","127524205.94","1490906390.83"
"27","Jun 07, 2019","86.8790425579","89.6951207945","85.4872980124","88.2670549098","132272877.122","1503058478.67"
"28","Jun 06, 2019","85.0426503735","87.1480748697","83.5697754384","86.9358424231","147136612.233","1480220684.15"
"29","Jun 05, 2019","83.4119849643","86.6047393467","83.391065956","84.9856765393","123787029.781","1446837936.27"
"30","Jun 04, 2019","89.6642367883","89.6677726268","81.3290077508","83.3435886388","82412018.0423","1418725214.96"
"31","Jun 03, 2019","94.9642304597","95.795271608","89.4593506462","89.709600925","113138588.146","1526921142.63"
"32","Jun 02, 2019","93.0443979367","96.2426326812","92.8072353564","94.9448934928","104335298.919","1615842701.71"
"33","Jun 01, 2019","93.2864555675","93.7220701956","91.5465865198","92.9691791065","101580438.695","1582034054.89"
"34","May 31, 2019","91.9673002012","93.520310317","89.4616886988","93.2167086376","98522712.5676","1586058693.25"
"35","May 30, 2019","94.0056345317","98.3937049448","89.8499757198","91.9647756876","115296005.177","1564577148.13"
"36","May 29, 2019","96.0544016058","96.0716901557","90.5783374835","93.9891148957","109958291.992","1598837763.51"
"37","May 28, 2019","97.9014220181","98.5278592444","95.658773969","96.0609813911","156907569.001","1633885378.59"
"38","May 27, 2019","92.0233904111","98.8590576433","91.9528445681","97.9660193855","234053890.706","1666096693.51"
"39","May 26, 2019","86.9491119369","92.2110364279","85.5771358436","91.9951874071","78729256.2126","1564370682.15"
"40","May 25, 2019","85.5498800035","87.6481499725","85.5498800035","86.9932903745","74414764.3674","1479134273.41"
"41","May 24, 2019","84.7085789541","87.2659447228","83.7894610216","85.5778248529","78323420.6142","1454901051.58"
"42","May 23, 2019","83.4029568414","85.1977443005","81.0071936219","84.6231302819","216194224.123","1438500598.66"
"43","May 22, 2019","88.9987547009","91.208160764","83.3898905803","83.5051888473","419738195.043","1419318199.62"
"44","May 21, 2019","87.5025972116","92.4243201733","87.4694339607","89.003467732","87816699.1107","1512600467.91"
"45","May 20, 2019","90.601731603","90.6288166736","84.8035185451","87.6083638698","76023557.373","1488715359.92"
"46","May 19, 2019","79.6023296536","90.9766469207","79.4532134559","90.6216442232","67197703.5129","1539746808.46"
"47","May 18, 2019","82.0336038252","82.9088840193","79.3386124921","79.5918636308","46125352.1687","1352191207.17"
"48","May 17, 2019","87.0345244683","87.3739829717","77.6119662621","82.0088360697","72415159.5088","1393082175.11"
"49","May 16, 2019","93.9348567693","96.7615797766","85.0351814647","87.0109487948","78734549.038","1477878639.72"
"50","May 15, 2019","83.1999299597","94.4128418524","82.9494460314","94.0837195835","70995398.5007","1597828608.34"
"51","May 14, 2019","79.1811645116","84.4339077335","79.02902742","83.0746520866","69119265.0863","1410694649.04"
"52","May 13, 2019","74.2148110707","81.6578837396","73.5247892879","79.1572696608","55646569.3595","1343845194.11"
"53","May 12, 2019","77.5484007404","79.7131412959","71.9289166079","74.2078610786","58900217.1869","1259819570.62"
"54","May 11, 2019","68.0691858769","79.6992848292","68.0415497332","77.5870590159","67439108.5758","1317034212.69"
"55","May 10, 2019","64.6750536554","68.3961574525","64.3161215043","68.0728917443","41323062.9409","1155403089.15"
"56","May 09, 2019","67.3425270063","68.1122380104","63.6698296169","64.6866033896","39720826.8579","1097794332.09"
"57","May 08, 2019","65.4932646245","67.4217207464","64.757500052","67.3295528049","37535065.0238","1142506451.12"
"58","May 07, 2019","66.5098169864","69.7833508066","65.540493952","65.5445265302","49857410.0328","1112087154.61"
"59","May 06, 2019","66.0575282016","67.3297725077","64.3625852651","66.5482768782","45947644.1095","1128981217.37"
"60","May 05, 2019","67.7892835079","68.4549211565","65.3422378189","66.0801440958","39931450.8867","1120902040.97"
"61","May 04, 2019","67.0157970781","68.3528163014","65.2281263346","67.7916751321","37095215.9304","1149800511.93"
"62","May 03, 2019","64.3688025597","68.4048815301","64.1707285316","67.0248079439","42073269.0566","1136650881.85"
"63","May 02, 2019","64.9942170926","65.8249345153","63.3408998933","64.4068655135","40766958.3105","1092119266.0"
"64","May 01, 2019","62.1000083981","64.977652126","62.0897586155","64.9596573535","38993596.3936","1101352848.61"
"65","Apr 30, 2019","60.5423683615","62.1949945887","60.2266350336","62.0959458693","39162918.9748","1052677379.28"
"66","Apr 29, 2019","61.2492532642","61.7933654687","59.7783560045","60.5419215431","47434963.1594","1026215646.09"
"67","Apr 28, 2019","62.636746729","63.0341898517","61.0375288235","61.2299537896","82495646.7516","1037458845.78"
"68","Apr 27, 2019","61.8112017867","63.5238878804","61.6097586057","62.55040208","116208417.236","1059209533.05"
"69","Apr 26, 2019","61.4058892169","63.7626277281","59.9854061574","62.0896710829","118882977.037","1051407654.12"
"70","Apr 25, 2019","67.6645128285","67.8792318826","61.2821127568","61.3013881201","155993710.491","1038059109.56"
"71","Apr 24, 2019","69.3344486928","70.8430842433","65.0759806386","67.6794334635","125287158.67","1146062994.51"
"72","Apr 23, 2019","68.5650134512","71.0116920536","68.0717927834","69.3309480481","215660125.071","1174029241.47"
"73","Apr 22, 2019","68.686433011","69.3546119846","67.9916608771","68.5926371734","106741099.36","1161526909.1"
"74","Apr 21, 2019","69.5877937437","70.0902211233","67.4079954765","68.7185066912","101931768.58","1163658345.33"
"75","Apr 20, 2019","68.6038302498","70.2445474777","68.1557681568","69.5245261968","100543874.303","1177178746.43"
"76","Apr 19, 2019","69.1675568259","69.5352544328","67.5407431392","68.5669439321","96681421.9445","1160823356.25"
"77","Apr 18, 2019","67.4767563401","69.9493048148","67.4647652396","69.1621410507","92841765.4656","1170759941.42"
"78","Apr 17, 2019","68.8737586222","69.9723427182","66.9174475171","67.4773924391","99427821.8028","1142091064.66"
"79","Apr 16, 2019","64.3631942847","70.1273365329","63.9609583245","68.9030793047","99339082.8202","1166082542.68"
"80","Apr 15, 2019","66.5890584863","67.0587704047","64.2676437128","64.3522757842","106781470.23","1088939529.37"
"81","Apr 14, 2019","65.3113108711","67.2988893158","64.2899236707","66.5815059597","122650716.265","1126513833.46"
"82","Apr 13, 2019","66.1031652654","66.9041729268","64.071259928","65.3237787577","110204684.25","1105099685.23"
"83","Apr 12, 2019","66.3303016058","71.1822242483","65.6739940592","66.1013573301","127876574.494","1118113321.11"
"84","Apr 11, 2019","70.9491335183","71.1702886497","62.8130622774","66.3671164234","128763082.295","1122464711.54"
"85","Apr 10, 2019","68.3611641919","71.6996152407","68.1208552833","70.9773586491","135283524.26","1200296289.05"
"86","Apr 09, 2019","71.1136471304","71.2198152815","68.079359105","68.3726065315","90506704.5818","1156098278.53"
"87","Apr 08, 2019","69.8231457511","72.5074569903","68.8220398851","71.0934107806","105550896.443","1201958133.3"
"88","Apr 07, 2019","68.089812883","70.0909180476","67.9022933154","69.8070058156","92938041.2969","1180056140.44"
"89","Apr 06, 2019","69.1649682469","70.1077166261","66.9879582317","68.0918637803","100724714.113","1150923538.85"
"90","Apr 05, 2019","63.9253815286","69.1817753286","63.8869995968","69.1621431114","95806842.5028","1168869216.29"
"91","Apr 04, 2019","65.8406794033","66.875739574","62.2181857163","63.9260531228","91708208.2325","1080233515.17"
"92","Apr 03, 2019","69.0584296731","72.3265315422","63.9331819787","65.7065934393","114825437.978","1110192057.41"
"93","Apr 02, 2019","59.9591870325","69.8200415609","59.0564361","69.0590510186","129351710.77","1166683807.15"
"94","Apr 01, 2019","55.8809944216","59.9892567735","55.8290002278","59.9731601653","118227704.163","1013053254.47"
"95","Mar 31, 2019","53.4557885644","56.4973281466","53.1142756039","55.8853360824","99371365.8481","943881892.473"
"96","Mar 30, 2019","53.4683930586","56.3955623154","52.8935663998","53.4501897368","88272936.1179","902642484.821"
"97","Mar 29, 2019","53.9219696747","54.0994421554","52.4212703767","53.4828154119","92764025.6493","903078217.276"
"98","Mar 28, 2019","54.7061706183","54.7331826542","53.7242714873","53.8984129944","95017106.791","909978167.787"
"99","Mar 27, 2019","52.9575041548","55.0254883285","52.8389151836","54.7297910149","91620139.8422","923904745.343"
"100","Mar 26, 2019","52.2383590794","53.0630368356","50.3801293559","52.9404984967","91009789.3434","893581795.736"
"101","Mar 25, 2019","53.7981474195","54.0809792158","51.1144313936","52.3398491234","93084754.6644","883330680.298"
"102","Mar 24, 2019","53.8132671656","54.1761462595","53.5295865936","53.7446800442","83963836.9163","906925110.079"
"103","Mar 23, 2019","53.9023544229","54.3684374601","53.3562692866","53.8403754192","81236140.7365","908424757.12"
"104","Mar 22, 2019","53.8471225472","54.2559867645","53.3549836071","53.9231167279","87593947.9504","909701081.842"
"105","Mar 21, 2019","55.9784075494","55.9815827545","53.2707006821","53.8529852226","93149157.6309","908407760.61"
"106","Mar 20, 2019","54.9846077009","56.7376727628","53.6773904335","55.8807428723","102750635.489","942482083.223"
"107","Mar 19, 2019","53.4726988016","55.1514151993","53.3492787586","54.7506310309","99715348.8383","923303555.504"
"108","Mar 18, 2019","53.587417406","54.0003586044","52.6962812831","53.4881402877","116998431.954","901892931.012"
"109","Mar 17, 2019","54.7054264976","54.8107365395","52.6464494715","53.5356045479","117829193.989","902585866.919"
"110","Mar 16, 2019","53.5613514143","55.3746333509","53.5613514143","54.6355126064","201675916.649","921004516.293"
"111","Mar 15, 2019","52.3619540587","53.6506000779","52.2569189812","53.6069910739","62767951.178","903543028.169"
"112","Mar 14, 2019","52.053813016","52.9235538799","51.6520238215","52.3545076693","63362753.1721","882322576.164"
"113","Mar 13, 2019","51.4827405572","52.3336181191","51.2856867652","52.0403186218","52938688.2131","876916617.334"
"114","Mar 12, 2019","50.2981604252","51.4720636728","49.4944108716","51.4720636728","60080876.6955","867231671.902"
"115","Mar 11, 2019","50.8900947778","50.9706189879","49.3762405498","50.2356007147","72591315.3425","846267215.033"
"116","Mar 10, 2019","50.8821639445","51.0146199311","50.4037541684","50.9482103804","65452520.5078","858202872.102"
"117","Mar 09, 2019","49.9816018282","51.3967755017","49.821810646","50.7874200615","65485381.039","855474088.038"
"118","Mar 08, 2019","51.2351710558","51.3847074451","49.5980762358","50.0182307636","74197398.2091","842429742.954"
"119","Mar 07, 2019","50.9273876517","52.0986033761","50.9273876517","51.0283770026","74428190.1837","859336368.539"
"120","Mar 06, 2019","50.5939450609","50.9036944987","49.5834979472","50.8486549243","72310828.5947","856197376.783"
"121","Mar 05, 2019","48.4999434239","50.6153254946","47.9350847195","50.5485237111","72757860.0762","851030426.97"
"122","Mar 04, 2019","50.1197849655","50.464238381","47.1742752261","48.4932876546","68874656.9606","816321457.737"
"123","Mar 03, 2019","49.9456873356","50.272161201","49.4635881906","50.1077384091","67035490.8414","843385247.823"
"124","Mar 02, 2019","49.6009128439","50.0569289358","49.1239699387","49.9836700013","63274675.0458","841185581.214"
"125","Mar 01, 2019","49.1221510703","50.1602454212","48.9856801143","49.5621713204","67173811.9234","833981002.948"
"126","Feb 28, 2019","49.8955621603","50.2098116188","49.0403600536","49.1212705249","69184623.4657","826452334.25"
"127","Feb 27, 2019","49.6350394221","50.0028724803","48.7261546414","49.9880947215","71709284.0336","840927319.474"
"128","Feb 26, 2019","50.0955130342","50.0955130342","49.0499500007","49.4053409643","69794817.0604","831009502.063"
"129","Feb 25, 2019","48.8772958267","50.1900723386","48.7006216029","50.078456667","70386152.5171","842219064.787"
"130","Feb 24, 2019","53.687657031","56.8274533985","49.0104687265","49.0104687265","63487790.3833","824146428.249"
"131","Feb 23, 2019","52.6180400701","53.8167879792","51.9234607173","53.8131629121","74715380.5618","904789935.046"
"132","Feb 22, 2019","50.3355226166","52.7098375829","50.3355226166","52.6422457868","67853125.1771","884989937.827"
"133","Feb 21, 2019","52.3167882124","52.3167882124","50.1538040417","50.4360279012","62868852.2568","847771535.761"
"134","Feb 20, 2019","52.2502624611","52.6375937892","50.8646958721","52.1106477833","62975747.8404","875814899.194"
"135","Feb 19, 2019","51.6833356893","53.5951965064","51.4897711403","52.3273514867","60939331.8327","879340059.033"
"136","Feb 18, 2019","48.0144788056","52.2341137728","48.0144788056","51.6932349882","59009589.8491","868564574.478"
"137","Feb 17, 2019","46.8713195847","48.1299246106","46.7592860403","48.0687544405","50287821.7981","807554570.83"
"138","Feb 16, 2019","47.3954301422","48.436833591","46.7674772581","46.9159868256","47450868.694","788079701.273"
"139","Feb 15, 2019","46.8201660648","48.6549272837","46.5895970645","47.4382499442","52421972.415","796744407.257"
"140","Feb 14, 2019","49.3198494475","49.6351646007","46.3028530696","46.8621333503","59162579.4846","786960326.611"
"141","Feb 13, 2019","49.0523544927","50.7415069168","48.8185025793","49.3300509319","59844236.5873","828292669.462"
"142","Feb 12, 2019","48.2251069477","49.4073721545","47.4579924501","49.052043698","52799179.2209","823516951.301"
"143","Feb 11, 2019","49.9117975183","49.9117975183","47.4042355349","48.270900394","52414292.1533","810293546.112"
"144","Feb 10, 2019","48.5866130801","49.8288997376","47.2375742089","49.8276700227","52351662.0259","836265588.905"
"145","Feb 09, 2019","48.2695758595","48.7558808152","47.9258183224","48.5556936982","52421773.9475","814857084.916"
"146","Feb 08, 2019","43.2481724766","49.5487052148","43.1159824295","48.1167459461","58034756.327","807372051.15"
"147","Feb 07, 2019","43.1527050351","43.7804788709","43.0558340998","43.2121027212","46417589.9794","724980002.093"
"148","Feb 06, 2019","43.374856434","43.374856434","42.4088584002","43.1435618756","48141805.4417","723735081.373"
"149","Feb 05, 2019","42.7198250174","43.4749899115","42.7198250174","43.3361255655","45555506.4348","726863021.423"
"150","Feb 04, 2019","42.9663429764","43.1140525277","42.1533188355","42.7966524791","44862786.0802","717705754.675"
"151","Feb 03, 2019","43.3019773901","43.7253359312","42.5755950274","42.9038399931","45359366.1058","719406512.165"
"152","Feb 02, 2019","43.6676011964","43.8047061105","41.9950797096","43.3876215305","46606594.4242","727418401.87"
"153","Feb 01, 2019","43.67149276","44.2057056854","42.8723394494","43.7228668036","36949055.5856","732932070.757"
"154","Jan 31, 2019","44.2499210224","44.5641632701","43.3135158537","43.6640950415","33200067.268","731848374.524"
"155","Jan 30, 2019","43.6691272046","44.7257296066","42.7649422252","44.2646084013","46618917.1103","741813802.037"
"156","Jan 29, 2019","43.5822010049","44.0704683347","42.8265736632","43.7101060311","50419054.3438","732410825.429"
"157","Jan 28, 2019","46.6932001307","46.6932001307","43.1991420919","43.5892324178","39662232.5872","730286575.201"
"158","Jan 27, 2019","45.7818595926","46.655719149","45.4073109092","46.57541575","37895259.9732","780207473.105"
"159","Jan 26, 2019","46.8627026157","46.8627026157","45.6747292229","45.7306405315","33090913.3037","765948361.449"
"160","Jan 25, 2019","45.8821162217","47.1076341246","45.1179993539","46.889335714","34838080.1248","785243217.732"
"161","Jan 24, 2019","44.9053271456","46.507081983","44.6159570143","45.7830462991","36027328.4358","766615024.58"
"162","Jan 23, 2019","45.9423335334","45.9729920631","44.6392410687","44.8805017769","32608466.6642","751394884.153"
"163","Jan 22, 2019","44.5833315129","46.03541608","44.537736359","45.9205982185","24212366.5252","768696100.573"
"164","Jan 21, 2019","44.1149561483","44.7557024935","43.7186770508","44.5773036103","36435975.019","746108402.553"
"165","Jan 20, 2019","46.0871432445","46.3820029034","44.0377911034","44.1130626903","33574394.3752","738232142.698"
"166","Jan 19, 2019","45.2738542418","46.5558488108","44.7901791793","46.2195916372","28578356.1645","773381168.789"
"167","Jan 18, 2019","45.6487873164","45.6997348977","44.8803897739","45.1258305349","21365212.5137","754975899.299"
"168","Jan 17, 2019","46.1608286228","46.356869804","44.8699231976","45.6536345795","27183478.7706","763695183.92"
"169","Jan 16, 2019","44.8926095933","46.1948841345","44.7102674899","46.1814366291","24281060.1254","772411706.391"
"170","Jan 15, 2019","45.8207253097","46.4067206558","44.7103396087","44.9506119479","24204632.6412","750562255.865"
