"","Date","Open","High","Low","Close","Vol","Cap"
"1","Jan 05, 2016","1.04800001566e-07","1.05246002136e-07","1.03619001379e-07","1.0379999793e-07","20.7796001434","32477.9239257"
"2","Jan 04, 2016","1.31299998429e-07","1.3219600703e-07","1.04378997889e-07","1.04800001566e-07","21.075799942","32790.8133662"
"3","Jan 03, 2016","1.34600000479e-07","1.34719996936e-07","1.27370000769e-07","1.31299998429e-07","0.00579277984798","41082.3835399"
"4","Jan 02, 2016","1.05200001599e-07","1.34877993219e-07","1.04766002096e-07","1.34600000479e-07","1.67190003395","42114.9186936"
"5","Jan 01, 2016","1.04400001533e-07","1.0593100086e-07","1.04077997776e-07","1.05300003383e-07","12.5718002319","32947.2580865"
"6","Dec 31, 2015","1.03700003251e-07","1.3943399324e-07","1.02436999327e-07","1.04199997963e-07","0.540660977364","32603.0797019"
"7","Dec 30, 2015","1.06299999914e-07","1.26776996012e-07","1.03578997823e-07","1.03899999715e-07","104.022003174","32509.2128697"
"8","Dec 29, 2015","1.03899999715e-07","1.06538003308e-07","1.03094997428e-07","1.06500003483e-07","0.01752069965","33322.7254151"
"9","Dec 28, 2015","1.39099995522e-07","1.41181999425e-07","1.03704998367e-07","1.03899999715e-07","104.012001038","32509.2128697"
"10","Dec 27, 2015","1.02500003152e-07","1.39692005519e-07","1.01635002636e-07","1.39199997307e-07","8.11419010162","43554.21012"
"11","Dec 26, 2015","1.0809999651e-07","1.35453007033e-07","9.3295803083e-08","1.02699999616e-07","14.4371995926","32133.7455411"
"12","Dec 25, 2015","1.07799998261e-07","1.45984998312e-07","1.07360996537e-07","1.07699996477e-07","19.8546009064","33698.1927437"
"13","Dec 24, 2015","1.07300003549e-07","1.47085998492e-07","1.0734500222e-07","1.44699995985e-07","14.6224002838","45275.1020428"
"14","Dec 23, 2015","1.02500003152e-07","1.43126001717e-07","1.02587996764e-07","1.07200001764e-07","26.8435993195","33541.7480235"
"15","Dec 22, 2015","1.03600001466e-07","1.37314003723e-07","1.02424998261e-07","1.02500003152e-07","458.592010498","32071.167653"
"16","Dec 21, 2015","1.02000001334e-07","1.05638001457e-07","7.00634998907e-08","1.03600001466e-07","434.381988525","32415.3460376"
"17","Dec 20, 2015","7.5099997332e-08","1.0933800354e-07","7.28431004404e-08","1.02100003119e-07","25.4216003418","31946.0118768"
"18","Dec 19, 2015","1.12899996907e-07","1.29696005047e-07","7.44471009284e-08","7.51999991166e-08","327.226989746","23529.2859269"
"19","Dec 18, 2015","1.12199998625e-07","1.50145993416e-07","1.11916996559e-07","1.12800002228e-07","2.00701999664","35293.9288903"
"20","Dec 17, 2015","1.4789999625e-07","1.51663996917e-07","1.10381996876e-07","1.12199998625e-07","10.9638004303","35106.195226"
