"","Date","Open","High","Low","Close","Vol","Cap"
"1","Nov 23, 2017","1.96478995349e-05","2.36791001953e-05","1.95847005671e-05","2.29752004088e-05","0.0103617999703","347537.981394"
"2","Nov 22, 2017","1.32760997076e-05","2.21359005081e-05","1.32760997076e-05","2.03670006158e-05","0.0091855302453","308006.220352"
"3","Nov 21, 2017","1.47397004184e-05","1.51226004164e-05","1.31517999762e-05","1.32751001729e-05","224.940002441","200670.493693"
"4","Nov 20, 2017","1.48566996359e-05","1.51189997268e-05","1.44715004353e-05","1.48006001837e-05","0.0153031004593","223640.877154"
"5","Nov 18, 2017","1.28061001305e-05","1.30352000269e-05","1.24405996758e-05","1.29840000227e-05","3.80331993103","196001.36778"
"6","Nov 17, 2017","1.45260000863e-05","1.45838002936e-05","1.20880004033e-05","1.28277997646e-05","424.555999756","193560.694578"
"7","Nov 16, 2017","1.51918002302e-05","7.29413004592e-05","1.38673003676e-05","1.45561998579e-05","145.309005737","219532.350711"
"8","Nov 15, 2017","1.45502999658e-05","1.53794007929e-05","1.24308999148e-05","1.51788999574e-05","299.752990723","228814.441892"
"9","Nov 14, 2017","5.98232982156e-05","6.16875986452e-05","1.38969999171e-05","1.45345002238e-05","745.426025391","219012.495534"
"10","Nov 13, 2017","1.01934001577e-05","6.33883973933e-05","1.00673996712e-05","5.96883000981e-05","10.9216003418","898974.887207"
"11","Nov 12, 2017","1.18286998259e-05","1.19673004519e-05","9.95384016278e-06","1.01358000393e-05","287.941009521","152595.558599"
"12","Nov 11, 2017","1.26867998915e-05","1.26867998915e-05","1.15246002679e-05","1.1828499737e-05","177.43699646","177996.539564"
"13","Nov 10, 2017","7.12885012035e-05","7.19551971997e-05","1.22723004097e-05","1.2903699826e-05","0.645184993744","194120.778838"
"14","Nov 09, 2017","1.249359957e-05","7.23718985682e-05","1.24268999571e-05","7.10774984327e-05","13.4048995972","1068821.33158"
"15","Nov 08, 2017","1.20698996398e-05","1.28192996272e-05","1.20637996588e-05","1.25004999063e-05","137.813995361","187901.984529"
"16","Nov 06, 2017","6.44330020805e-06","6.55288022244e-06","6.38553001409e-06","6.46319995212e-06","0.0633402019739","97021.728954"
"17","Nov 05, 2017","1.15319999168e-05","1.15913999252e-05","6.34185016679e-06","6.44039982944e-06","0.0631166025996","96673.994523"
"18","Nov 04, 2017","1.11284998638e-05","1.16365999929e-05","9.56122039497e-06","1.15299999379e-05","7.61630010605","172999.665475"
"19","Nov 03, 2017","1.10395003503e-05","1.16211003842e-05","1.01689001895e-05","1.11241997729e-05","162.089996338","166828.042201"
"20","Nov 02, 2017","1.38698997034e-05","1.59032006195e-05","1.03676002254e-05","1.1110700143e-05","876.400024414","166565.03131"
"21","Nov 01, 2017","1.39342000693e-05","1.42091002999e-05","1.35914997372e-05","1.38617997436e-05","1.60411000252","207732.345674"
"22","Oct 31, 2017","1.76417997864e-05","1.78639002115e-05","1.39445000968e-05","1.39445000968e-05","510.010986328","208881.045109"
"23","Oct 30, 2017","1.71537994902e-05","2.17607994273e-05","1.57510003191e-05","1.76934991032e-05","21.5484008789","264905.445351"
"24","Oct 29, 2017","1.61290008691e-05","1.73378994077e-05","1.58115999511e-05","1.72142008523e-05","198.606002808","257641.617666"
"25","Oct 28, 2017","1.65800993273e-05","1.67671005329e-05","1.63015993166e-05","1.6351499653e-05","2.47888994217","244555.609361"
"26","Oct 27, 2017","1.66536992765e-05","1.71833999048e-05","1.61801999639e-05","1.65677993209e-05","2.51197004318","247740.094439"
"27","Oct 26, 2017","1.6902700736e-05","2.22657999984e-05","1.64350003615e-05","1.69687991729e-05","6.87236976624","253626.841786"
"28","Oct 25, 2017","1.68506994669e-05","1.84064992936e-05","1.59640003403e-05","1.69180002558e-05","326.709991455","252752.509185"
"29","Oct 24, 2017","1.76638004632e-05","1.76638004632e-05","1.60563995451e-05","1.65723995451e-05","11.6127004623","247471.630393"
"30","Oct 23, 2017","1.81448995136e-05","1.81515006261e-05","1.67983998836e-05","1.73904008989e-05","118.291000366","259555.328508"
"31","Oct 22, 2017","2.16284006456e-05","2.30180994549e-05","1.7961499907e-05","1.81389004865e-05","123.407997131","270629.803207"
"32","Oct 21, 2017","1.76779994945e-05","2.19644007302e-05","1.39859002957e-05","2.16698008444e-05","11.1364002228","323167.307374"
"33","Oct 20, 2017","2.08946003113e-05","2.10448997677e-05","1.76245994226e-05","1.76382000063e-05","25.6040992737","262916.023396"
"34","Oct 19, 2017","2.16772004933e-05","2.20697002078e-05","1.99593996513e-05","2.09017998714e-05","262.088989258","311439.066944"
"35","Oct 18, 2017","1.49302995851e-05","2.19119992835e-05","1.46183001561e-05","2.18928998947e-05","3.92524003983","326069.732862"
"36","Oct 17, 2017","2.26691990974e-05","2.32726997638e-05","1.48749004438e-05","1.48810004248e-05","0.47571799159","221526.862157"
"37","Oct 16, 2017","4.76460991194e-05","4.79178997921e-05","2.15971995203e-05","2.26694992307e-05","25.641500473","337332.531296"
"38","Oct 15, 2017","2.19228004426e-05","2.43356007559e-05","2.14829997276e-05","2.32224992942e-05","25.1863002777","345404.672419"
"39","Oct 14, 2017","1.80298993655e-05","2.36635005422e-05","1.78095997398e-05","2.189010047e-05","312.910003662","325438.091866"
"40","Oct 13, 2017","2.20384008571e-05","2.24181003432e-05","1.77158999577e-05","1.79936996574e-05","14.7195997238","267408.109393"
"41","Oct 12, 2017","1.86139004654e-05","2.18508994294e-05","1.74808992597e-05","2.18508994294e-05","295.148986816","324562.507032"
"42","Oct 11, 2017","1.70739003806e-05","1.86353991012e-05","1.68889000633e-05","1.86140005098e-05","146.574005127","276367.781805"
"43","Oct 10, 2017","1.95110005734e-05","2.06145996344e-05","1.67810994753e-05","1.70734001586e-05","10.6033000946","253395.847821"
"44","Oct 09, 2017","2.0556999516e-05","2.0556999516e-05","1.90518003365e-05","1.94624008145e-05","0.889029979706","288725.823088"
"45","Oct 08, 2017","2.63400997937e-05","4.590089884e-05","2.05529995583e-05","2.05529995583e-05","0.657908976078","304750.789298"
"46","Oct 07, 2017","2.10545003938e-05","2.87060993287e-05","1.91479994101e-05","2.63538004219e-05","78.3945007324","390616.221254"
"47","Oct 06, 2017","1.74075994437e-05","2.10958005482e-05","1.72808995558e-05","2.10496000363e-05","2.2321600914","311839.457072"
"48","Oct 05, 2017","2.46951003646e-05","2.47867992584e-05","1.70815001184e-05","1.74075994437e-05","88.6078033447","257765.778697"
"49","Oct 04, 2017","1.89939000848e-05","2.48023006861e-05","1.81533996511e-05","2.46851996053e-05","2.5658800602","365368.298859"
"50","Oct 03, 2017","2.001609937e-05","2.01762995857e-05","1.78797999979e-05","1.89939000848e-05","0.000290964992018","281061.428009"
"51","Oct 02, 2017","2.05303003895e-05","2.09654008358e-05","1.99719997909e-05","2.00141003006e-05","1.37723004818","296068.731406"
"52","Oct 01, 2017","2.00225003937e-05","2.00225003937e-05","1.93366995518e-05","1.95076008822e-05","62.5415000916","288363.440267"
"53","Sep 30, 2017","2.33977007156e-05","2.51197998296e-05","1.9338900529e-05","2.00108006538e-05","510.165985107","295673.727641"
"54","Sep 29, 2017","2.31450994761e-05","2.41141005972e-05","2.19330995606e-05","2.3391799914e-05","0.135795995593","345493.552668"
"55","Sep 28, 2017","2.40142999246e-05","2.68275998678e-05","2.281019988e-05","2.31374997384e-05","0.888477027416","341610.321656"
"56","Sep 27, 2017","2.25566000154e-05","2.41900997935e-05","2.2539499696e-05","2.40320005105e-05","2.80680990219","354664.43624"
"57","Sep 26, 2017","2.86852991849e-05","2.92180993711e-05","2.26108004426e-05","2.26185002248e-05","38.4719009399","333651.317764"
"58","Sep 25, 2017","2.4801800464e-05","2.86673002847e-05","1.80374991032e-05","2.86453996523e-05","3.78364992142","422329.37293"
"59","Sep 24, 2017","2.69108004431e-05","2.82441997115e-05","2.47400002991e-05","2.48056003329e-05","15.242600441","365587.599402"
"60","Sep 23, 2017","1.91707003978e-05","2.76001992461e-05","1.53346991283e-05","2.67754003289e-05","32.8532981873","394436.650836"
"61","Sep 22, 2017","3.37544988724e-05","3.51232010871e-05","1.91232993529e-05","1.93017003767e-05","0.0288743991405","284188.724713"
"62","Sep 21, 2017","3.685989941e-05","3.71360983991e-05","3.3557000279e-05","3.37946003128e-05","4.32518005371","497392.55572"
"63","Sep 20, 2017","2.89468007395e-05","2.9520400858e-05","2.88118008029e-05","2.9520400858e-05","0.0123821003363","434099.179423"
"64","Sep 19, 2017","2.42757996602e-05","3.194870078e-05","2.23004008149e-05","2.89138006337e-05","0.0121277002618","425168.971714"
"65","Sep 18, 2017","2.52764002653e-05","2.73310997727e-05","2.20114998228e-05","2.42019996222e-05","350.686004639","355715.127015"
"66","Sep 17, 2017","2.43610993493e-05","2.69615993602e-05","1.84931996046e-05","2.52968002314e-05","0.253731995821","371631.684006"
"67","Sep 16, 2017","2.47515999945e-05","2.71901008091e-05","2.08025994652e-05","2.43410995608e-05","506.096984863","357449.236058"
"68","Sep 15, 2017","2.32817001233e-05","2.60695996985e-05","1.72629006556e-05","2.49648001045e-05","8.43126964569","366437.266356"
"69","Sep 14, 2017","3.37929996022e-05","3.43409992638e-05","1.93507003132e-05","2.34678991546e-05","163.136001587","344337.632339"
"70","Sep 13, 2017","3.75263989554e-05","4.03986996389e-05","2.88274004561e-05","3.33774005412e-05","155.384994507","489466.470371"
"71","Sep 12, 2017","3.72091999452e-05","3.97684016207e-05","3.6670400732e-05","3.7487501686e-05","1.33361005783","549480.809906"
"72","Sep 11, 2017","3.76212010451e-05","3.84992999898e-05","3.60830999853e-05","3.70517991541e-05","28.3943996429","542822.116019"
"73","Sep 10, 2017","3.97506992158e-05","4.12996996602e-05","3.51279995812e-05","3.76349016733e-05","34.084400177","551071.187257"
"74","Sep 09, 2017","4.22615994466e-05","4.23841993324e-05","3.90884997614e-05","3.9957001718e-05","125.738998413","584928.824827"
"75","Sep 08, 2017","4.55406006949e-05","4.69545011583e-05","4.06787985412e-05","4.21814984293e-05","38.9841995239","617282.278286"
"76","Sep 07, 2017","4.61603995063e-05","4.61708004877e-05","4.20717005909e-05","4.55353001598e-05","102.797996521","665990.532255"
"77","Sep 06, 2017","2.99235998682e-05","4.72335996164e-05","2.92324002658e-05","4.6247998398e-05","23.9652004242","676005.05046"
"78","Sep 05, 2017","6.71887028147e-05","7.11196989869e-05","2.93061002594e-05","2.98681006825e-05","43.2159996033","436358.230961"
"79","Sep 04, 2017","4.50650004495e-05","6.99345982866e-05","3.79880984838e-05","6.68778011459e-05","528.731994629","976747.426694"
"80","Sep 03, 2017","9.2064103228e-05","9.3201699201e-05","4.17365008616e-05","4.51173982583e-05","68.9394989014","658576.770311"
"81","Sep 02, 2017","4.77391986351e-05","9.20050006243e-05","3.99503987865e-05","9.20050006243e-05","27.701499939","1342436.44454"
"82","Sep 01, 2017","4.46753983852e-05","5.06934993609e-05","4.40953990619e-05","4.75728011224e-05","686.247009277","693785.421516"
"83","Aug 31, 2017","4.09394015151e-05","4.51257983514e-05","4.00798999181e-05","4.47214988526e-05","1859.06994629","652019.680736"
"84","Aug 30, 2017","3.85726016248e-05","4.10104003095e-05","3.81104982807e-05","4.10104003095e-05","71.020401001","597591.553258"
"85","Aug 29, 2017","4.33122986578e-05","4.35084002675e-05","3.5571600165e-05","3.87002983189e-05","109.986999512","563704.990022"
"86","Aug 28, 2017","3.93232985516e-05","4.36668997281e-05","3.86930987588e-05","4.33189998148e-05","185.125","630672.982093"
"87","Aug 27, 2017","3.85193015973e-05","4.12502995459e-05","3.79351004085e-05","4.00317003368e-05","962.323974609","582583.631923"
"88","Aug 26, 2017","2.96107991744e-05","7.24225028534e-05","2.71661992883e-05","3.85249004466e-05","1761.4699707","559406.685497"
"89","Aug 25, 2017","3.22246996802e-05","3.36468001478e-05","2.79352007055e-05","2.94673991448e-05","0.0293020997196","427885.875478"
"90","Aug 24, 2017","2.86632002826e-05","3.26176996168e-05","2.35169991356e-05","3.22611995216e-05","18.5097007751","468453.674433"
"91","Aug 23, 2017","2.64519003395e-05","2.94218007184e-05","2.54085007327e-05","2.84969992208e-05","248.121002197","413795.034293"
"92","Aug 22, 2017","2.62718003796e-05","2.66878996626e-05","2.09757999983e-05","2.64504997176e-05","88.2683029175","384078.518951"
"93","Aug 21, 2017","3.01326999761e-05","3.07273003273e-05","2.15640993702e-05","2.60779997916e-05","32.7333984375","378581.562645"
"94","Aug 20, 2017","3.76269017579e-05","3.8784899516e-05","3.01411000692e-05","3.02643002215e-05","101.151000977","439138.851698"
"95","Aug 19, 2017","2.59952994384e-05","3.78840995836e-05","1.79972994374e-05","3.78047006961e-05","120.447998047","548292.054904"
"96","Aug 18, 2017","2.49952008744e-05","2.63116999122e-05","2.44017992372e-05","2.55877002928e-05","150.559997559","370958.384412"
"97","Aug 17, 2017","2.9350800105e-05","2.95245008601e-05","1.61863008543e-05","2.50182001764e-05","32.8193016052","362575.700591"
"98","Aug 16, 2017","4.02018013119e-05","4.06225008192e-05","2.36150008277e-05","2.9359900509e-05","7.0827999115","425308.318797"
"99","Aug 15, 2017","2.60642991634e-05","4.061960135e-05","2.58872005361e-05","4.01582001359e-05","44.7672996521","581475.77707"
"100","Aug 14, 2017","2.81830998574e-05","2.87001003016e-05","1.89068996406e-05","2.60394008365e-05","164.820999146","376879.368043"
"101","Aug 13, 2017","2.68176008831e-05","3.15327997669e-05","2.13874991459e-05","2.80885997199e-05","101.566001892","406383.828376"
"102","Aug 12, 2017","1.8730699594e-05","4.39118994109e-05","1.52880002133e-05","2.68461008091e-05","215.798995972","388227.559588"
"103","Aug 11, 2017","2.42049991357e-05","2.77183007711e-05","1.87092991837e-05","1.87792993529e-05","14.2834997177","271436.518631"
"104","Aug 10, 2017","3.12058000418e-05","3.12554984703e-05","2.24557006732e-05","2.42127007368e-05","17.0715999603","349823.334179"
"105","Aug 09, 2017","3.06816000375e-05","3.30178991135e-05","3.05957000819e-05","3.20508988807e-05","143.022003174","462846.325755"
"106","Aug 08, 2017","2.06101994991e-05","3.09630013362e-05","2.05856995308e-05","3.07045993395e-05","26.3682994843","443237.097676"
"107","Aug 07, 2017","2.05217002076e-05","2.51891997323e-05","1.1058000382e-05","2.05966007343e-05","36.2456016541","297195.086787"
"108","Aug 06, 2017","2.11706992559e-05","2.13407001866e-05","2.03607996809e-05","2.05102005566e-05","7.74482011795","295809.94904"
"109","Aug 05, 2017","2.01112998184e-05","2.1561199901e-05","2.01112998184e-05","2.11745991692e-05","89.0739974976","305257.850822"
"110","Aug 04, 2017","2.81457996607e-05","2.8812299206e-05","1.09502998384e-05","2.01302991627e-05","92.6026992798","290071.130978"
"111","Aug 03, 2017","2.6748099117e-05","2.81691991404e-05","2.67404993792e-05","2.78943007288e-05","1.24046003819","401765.159423"
"112","Aug 02, 2017","2.05094002013e-05","2.66982005996e-05","1.79308008228e-05","2.66982005996e-05","16.2870006561","384356.030861"
"113","Aug 01, 2017","2.80223994196e-05","2.90736006718e-05","2.24207997235e-05","2.24529994739e-05","38.4124984741","323058.872058"
"114","Jul 31, 2017","2.58579002548e-05","2.87412003672e-05","1.70387993421e-05","2.7760199373e-05","84.5465011597","399383.984785"
"115","Jul 30, 2017","2.70578002528e-05","2.71127992164e-05","1.76377998287e-05","2.58615000348e-05","2.88012003899","371949.855716"
"116","Jul 29, 2017","2.4990800739e-05","2.88088995148e-05","2.41319994529e-05","2.70617001661e-05","55.6470985413","389084.395202"
"117","Jul 28, 2017","3.41828017554e-05","3.46187989635e-05","1.8423599613e-05","2.49584008998e-05","28.2630004883","358686.588196"
"118","Jul 27, 2017","3.2879801438e-05","4.7804100177e-05","2.06951008295e-05","3.40572005371e-05","179.656005859","489181.528773"
"119","Jul 26, 2017","1.56139994942e-05","3.19159007631e-05","1.52529000843e-05","3.18368984153e-05","8.41345977783","457078.47328"
"120","Jul 25, 2017","2.73883997579e-05","3.41466002283e-05","1.53028995555e-05","1.56133992277e-05","518.286010742","224055.061378"
"121","Jul 24, 2017","5.19038985658e-05","5.26639996679e-05","1.86842007679e-05","2.73666992143e-05","862.299987793","392517.225679"
"122","Jul 23, 2017","3.47122004314e-05","5.49299002159e-05","2.67695995717e-05","5.19419991178e-05","75.353302002","744717.256305"
"123","Jul 22, 2017","5.11079015268e-05","5.14683997608e-05","2.92719996651e-05","3.47124005202e-05","156.591003418","497459.152131"
"124","Jul 21, 2017","2.9033399187e-05","5.52839992451e-05","2.45781993726e-05","5.11223988724e-05","227.38999939","732365.571546"
"125","Jul 20, 2017","2.2887799787e-05","5.31473015144e-05","2.26972006203e-05","2.88363007712e-05","1015.10998535","412913.539958"
"126","Jul 19, 2017","2.95923000522e-05","2.95923000522e-05","1.19241003631e-05","1.41853997775e-05","51.5909004211","203032.473949"
"127","Jul 18, 2017","2.1016699975e-05","3.02410007862e-05","2.07124994631e-05","2.92511995212e-05","405.317993164","418474.321848"
"128","Jul 17, 2017","8.49220032251e-06","2.25684998441e-05","8.42052031658e-06","2.0968800527e-05","6.30373001099","299848.126002"
"129","Jul 16, 2017","2.2116699256e-05","2.29633005802e-05","8.42066037876e-06","8.49109983392e-06","1.50522994995","121360.978475"
"130","Jul 15, 2017","1.39209996632e-05","2.343109918e-05","1.02764997791e-05","2.2243899366e-05","146.929000854","317812.557347"
"131","Jul 14, 2017","2.34102008108e-05","3.05508983729e-05","1.29296004161e-05","1.38994000736e-05","155.235992432","198499.103574"
"132","Jul 13, 2017","2.44212005782e-05","2.68772000709e-05","2.32723996305e-05","2.34273993556e-05","19.5634994507","334382.267193"
"133","Jul 12, 2017","2.35237002926e-05","2.46319996222e-05","2.28951994359e-05","2.43984995905e-05","269.540985107","348094.070459"
"134","Jul 11, 2017","2.38977991103e-05","2.44418006332e-05","2.2957499823e-05","2.3635899197e-05","261.463012695","337052.129372"
"135","Jul 10, 2017","2.56368002738e-05","2.57871997746e-05","2.32595994021e-05","2.3941100153e-05","264.729003906","341242.73312"
"136","Jul 09, 2017","5.02586990478e-05","5.06973992742e-05","2.55881004705e-05","2.55881004705e-05","282.618011475","364585.070093"
"137","Jul 08, 2017","5.01169015479e-05","5.02725015394e-05","2.54262995441e-05","5.02145994687e-05","180.365005493","715125.074612"
"138","Jul 07, 2017","5.17189982929e-05","5.1813400205e-05","2.5908500902e-05","5.00794994878e-05","112.089996338","712873.043786"
"139","Jul 06, 2017","2.63261008513e-05","5.20811991009e-05","2.58558993664e-05","5.16916006745e-05","724.809020996","735510.859599"
"140","Jul 05, 2017","7.37068985472e-05","8.26756004244e-05","2.60535998677e-05","2.63161000476e-05","4268.22998047","374285.403358"
"141","Jul 04, 2017","4.83209005324e-05","7.69110993133e-05","2.89150993922e-05","6.4194398874e-05","315.57699585","912557.258546"
"142","Jul 03, 2017","5.00997011841e-05","5.07687982463e-05","3.80347992177e-05","4.84371994389e-05","1865.9699707","688284.256583"
"143","Jul 02, 2017","2.40700992435e-05","5.04976997036e-05","2.37435997406e-05","5.02891998622e-05","234.511001587","714289.064073"
"144","Jul 01, 2017","6.38587007415e-05","7.26404978195e-05","4.60344999738e-05","7.22191980458e-05","404.398010254","1025211.30539"
"145","Jun 30, 2017","7.59632966947e-05","7.64630967751e-05","4.56933012174e-05","6.38815035927e-05","372.598999023","906489.823966"
"146","Jun 29, 2017","7.72604980739e-05","7.75470034569e-05","2.52497993642e-05","7.58124006097e-05","986.820007324","1075272.09776"
"147","Jun 28, 2017","7.36532019801e-05","8.22287984192e-05","4.44319011876e-05","8.17816035124e-05","2225.82006836","1159317.76519"
"148","Jun 27, 2017","8.97167992662e-05","9.28579975152e-05","4.90728998557e-05","7.35639987397e-05","2499.45996094","1042444.36321"
"149","Jun 26, 2017","0.000100933997601","0.000102454003354","6.47566994303e-05","8.97167992662e-05","1038.0300293","1270683.93481"
