"","Date","Open","High","Low","Close","Vol","Cap"
"1","Aug 31, 2018","0.00391684","0.00395615","0.00387226","0.00395615","4.45474","253792.580891"
"2","Aug 30, 2018","0.00408592","0.00409971","0.00360456","0.00391298","119.044","251023.164737"
"3","Aug 29, 2018","0.00411301","0.0041337","0.00404479","0.00408368","9.89494","261973.80957"
"4","Aug 28, 2018","0.00419982","0.00424053","0.00378083","0.00410943","48.9487","263625.708249"
"5","Aug 27, 2018","0.00410473","0.00420806","0.00408927","0.00420806","39.0756","269952.961324"
"6","Aug 26, 2018","0.00371922","0.00372605","0.00362696","0.00368382","4.40808","236322.228767"
"7","Aug 25, 2018","0.00408611","0.00414266","0.00368955","0.00371124","4.44088","238081.260292"
"8","Aug 24, 2018","0.00372853","0.00410477","0.00369984","0.00409347","8.92914","262601.851825"
"9","Aug 23, 2018","0.00343854","0.00521169","0.00343215","0.00372915","179.144","239230.211956"
"10","Aug 22, 2018","0.00356686","0.00439261","0.00342736","0.00343769","74.1051","220532.643454"
"11","Aug 21, 2018","0.00408182","0.004131","0.00346881","0.00356615","7.91542","228773.532941"
"12","Aug 20, 2018","0.00356698","0.00420422","0.00345494","0.0040878","26.9184","262238.113359"
"13","Aug 19, 2018","0.00365006","0.00368713","0.00349555","0.00357282","11.4407","229201.422812"
"14","Aug 18, 2018","0.00369051","0.00444058","0.0036074","0.00364888","22.7146","234080.778676"
"15","Aug 17, 2018","0.00423378","0.0044497","0.00362456","0.00368204","33.8738","236208.039266"
"16","Aug 16, 2018","0.00326284","0.00500052","0.00324207","0.00423346","120.423","271582.407011"
"17","Aug 15, 2018","0.00328435","0.0046087","0.00317973","0.00326746","50.9004","209612.149781"
"18","Aug 14, 2018","0.00419703","0.00476324","0.00324927","0.00328702","110.258","210866.951263"
"19","Aug 13, 2018","0.00361365","0.00422404","0.00315292","0.00420087","42.0657","269491.712722"
"20","Aug 12, 2018","0.0035656","0.00362861","0.003532","0.00359349","3.59349","230527.432353"
"21","Aug 11, 2018","0.00485949","0.00487217","0.00311295","0.00357631","120.108","229425.311216"
"22","Aug 10, 2018","0.00353123","0.00354763","0.00327702","0.00327702","5.35902","210225.437213"
"23","Aug 09, 2018","0.00370669","0.00441129","0.00353489","0.00353489","19.4525","226768.16002"
"24","Aug 08, 2018","0.00544809","0.00544809","0.00341989","0.00369831","513.07","237251.782626"
"25","Aug 07, 2018","0.00562037","0.00576799","0.00544211","0.00544211","57.8407","349119.002665"
"26","Aug 06, 2018","0.0056027","0.00564406","0.00556333","0.00562254","6.04769","360693.840669"
"27","Aug 05, 2018","0.00575138","0.00576238","0.00566904","0.0056996","3.60734","365637.347938"
"28","Aug 04, 2018","0.00645762","0.00650061","0.00571334","0.00574882","3.63849","368794.880092"
"29","Aug 03, 2018","0.0058824","0.00655538","0.00569191","0.00644831","3.99538","413668.146376"
"30","Aug 02, 2018","0.00570912","0.00632389","0.00570912","0.00588302","46.0524","377403.998643"
"31","Aug 01, 2018","0.00658473","0.00658789","0.00569565","0.00570601","528.239","366048.558444"
"32","Jul 31, 2018","0.00703206","0.00773758","0.00651431","0.00657886","92.6368","422043.112298"
"33","Jul 30, 2018","0.00710294","0.00711672","0.00677353","0.00704538","38.8741","451971.025759"
"34","Jul 29, 2018","0.00780801009387","0.00785963982344","0.00772314984351","0.00779440999031","7.43182992935","500022.352646"
"35","Jul 28, 2018","0.00784458033741","0.00789253041148","0.0068485098891","0.00777671020478","52.0946998596","498886.872778"
"36","Jul 27, 2018","0.00723415007815","0.00793522968888","0.00717288022861","0.00782833993435","100.526000977","502199.009818"
"37","Jul 26, 2018","0.00735427998006","0.00817998964339","0.00716585991904","0.00723811006173","30.6986999512","464334.926045"
"38","Jul 25, 2018","0.00819400977343","0.00838446989655","0.00726854009554","0.00735686998814","63.2411003113","471953.546902"
"39","Jul 24, 2018","0.00733899977058","0.00834934040904","0.00733117992058","0.00834860000759","20.9811992645","535574.419783"
"40","Jul 23, 2018","0.00739543000236","0.00777935003862","0.00739543000236","0.00775515008718","58.4893989563","497503.768486"
"41","Jul 22, 2018","0.00740292994305","0.00754659017548","0.00682453997433","0.00740402005613","210.263000488","474978.285648"
"42","Jul 21, 2018","0.0068940599449","0.00741223990917","0.00666001019999","0.00740484986454","858.95300293","475031.531314"
"43","Jul 20, 2018","0.00717335985973","0.00718643004075","0.00678073009476","0.00689572002739","40.3116989136","442370.126487"
"44","Jul 19, 2018","0.00692985998467","0.00757191004232","0.00688687013462","0.00716792978346","84.5559005737","459832.780442"
