"","Date","Open","High","Low","Close","Vol","Cap"
"1","Oct 20, 2018","0.00823156","0.00829254","0.00821432","0.00825491","4.59579","."
"2","Oct 19, 2018","0.00823475","0.00829277","0.00822074","0.00823094","4.58245","."
"3","Oct 18, 2018","0.00844816","0.00847903","0.00838911","0.00838911","0.65461","."
"4","Oct 17, 2018","0.00850814","0.00852839","0.00837851","0.00841513","0.656641","."
"5","Oct 16, 2018","0.0084401","0.00856116","0.00837923","0.00847889","0.661617","."
"6","Oct 15, 2018","0.00846759","0.00858551","0.00836778","0.00844783","7.6629","."
"7","Oct 13, 2018","0.0079847","0.00803189","0.0079847","0.00801342","1.60268","."
"8","Oct 12, 2018","0.00796869","0.00805111","0.00796071","0.0079845","1.5969","."
"9","Oct 08, 2018","0.0084311","0.00844497","0.00838076","0.00842213","0.682192","."
"10","Oct 07, 2018","0.00842368","0.0084456","0.00833498","0.00839245","0.679788","."
"11","Oct 06, 2018","0.00847552","0.00847754","0.0083638","0.00839255","1.7768","."
"12","Oct 05, 2018","0.00838615","0.0084847","0.00836289","0.00845654","0.845654","."
"13","Oct 02, 2018","0.00841528","0.00846023","0.00834082","0.0083873","0.812323","."
"14","Oct 01, 2018","0.00848153","0.00851512","0.00834626","0.00843916","94.3966","."
"15","Sep 28, 2018","0.00854721","0.00869172","0.00844439","0.00852286","6.81829","."
"16","Sep 27, 2018","0.00828625","0.00859633","0.00823055","0.00854531","6.83625","."
"17","Sep 26, 2018","0.00821846","0.00837287","0.00816977","0.00827614","11.667","."
"18","Sep 25, 2018","0.0082367","0.00914779","0.00813373","0.00823175","51.0726","."
"19","Sep 24, 2018","0.00856892","0.00859538","0.00842125","0.0084587","16.6848","."
"20","Sep 23, 2018","0.00992811","0.00995396","0.00854102","0.0085668","33.5396","."
"21","Sep 22, 2018","0.0087027","0.00996228","0.00835241","0.00992318","74.4976","."
"22","Sep 21, 2018","0.00638114","0.00869942","0.00637403","0.00869596","31.6625","."
"23","Sep 20, 2018","0.00626199","0.00640356","0.00624079","0.00637932","28.3164","."
"24","Sep 19, 2018","0.00533611","0.00635366","0.00530623","0.00625924","17.8519","."
"25","Sep 18, 2018","0.00534725","0.00536293","0.00530467","0.00533262","0.657118","."
"26","Sep 11, 2018","0.00866408","0.0087436","0.00853068","0.00864156","9.09698","."
"27","Sep 10, 2018","0.00814414","0.0086608","0.00814414","0.00864963","25.3341","."
"28","Sep 07, 2018","0.00520145","0.00522473","0.00518544","0.00520855","1.56256","."
"29","Sep 06, 2018","0.00537215","0.00537215","0.00506798","0.00520716","3.56163","."
"30","Sep 05, 2018","0.00596166","0.00598031","0.00536266","0.00536266","2.90783","."
"31","Sep 04, 2018","0.00581394","0.00598939","0.0057987","0.00595675","2.87674","."
"32","Sep 03, 2018","0.00583021","0.0058763","0.00575883","0.00581392","23.4294","."
"33","Sep 02, 2018","0.00584557","0.00585328","0.00575583","0.0058316","0.886184","."
"34","Aug 31, 2018","0.00559548","0.00561293","0.0055318","0.00556249","81.779","."
"35","Aug 30, 2018","0.00563575","0.0056419","0.00545731","0.00558998","82.1832","."
"36","Aug 29, 2018","0.00567311","0.00570166","0.00557902","0.00563266","53.8777","."
"37","Aug 28, 2018","0.00550796","0.0057023","0.0054994","0.00566817","54.2174","."
"38","Aug 27, 2018","0.00550942","0.00553381","0.0053869","0.00551877","0.699574","."
"39","Aug 26, 2018","0.00540977","0.00553721","0.00529882","0.00551201","1.06193","."
"40","Aug 25, 2018","0.00536067","0.00546413","0.00535009","0.00539816","185.681","."
"41","Aug 19, 2018","0.00518693","0.00521137","0.00512976","0.00521137","0.661844","."
"42","Aug 18, 2018","0.0052757","0.00528699","0.00512631","0.00518525","0.658527","."
"43","Aug 16, 2018","0.00313735","0.0032391","0.00311737","0.00320632","11.9589","."
"44","Aug 15, 2018","0.00322238","0.00329193","0.00312895","0.00314179","11.7182","."
"45","Aug 14, 2018","0.00309915","0.00322934","0.00308292","0.003225","3.9673","."
"46","Aug 13, 2018","0.00328818","0.00331187","0.00328122","0.00330529","0.811512","."
"47","Aug 12, 2018","0.00326478","0.00437462","0.0032368","0.00328935","0.807599","."
"48","Aug 11, 2018","0.00424909","0.00441104","0.00417955","0.00441104","3.31768","."
"49","Aug 10, 2018","0.00451213","0.00453309","0.00418731","0.00425316","5.87182","."
"50","Aug 09, 2018","0.00433494","0.00456306","0.00429787","0.0045168","3.39722","."
"51","Aug 08, 2018","0.00464097","0.00464097","0.00425635","0.00432515","7.63225","."
"52","Aug 07, 2018","0.00478772","0.00492718","0.00463587","0.00463587","1.74342","."
"53","Aug 06, 2018","0.00401934","0.0048079","0.00401934","0.00478957","1.59014","."
"54","Aug 05, 2018","0.00406805","0.00407583","0.00394907","0.00401451","0.802902","."
"55","Aug 04, 2018","0.00504733","0.00508927","0.00404114","0.00406624","32.0954","."
"56","Aug 03, 2018","0.00512825","0.00512825","0.00366968","0.00504006","6.50635","."
"57","Aug 02, 2018","0.00520036","0.00522992","0.00509857","0.00512878","2.56439","."
"58","Aug 01, 2018","0.00387337","0.00387523","0.00374135","0.00378349","15.5656","."
"59","Jul 31, 2018","0.0040884","0.0040884","0.00383195","0.00386992","16.9987","."
"60","Jul 30, 2018","0.00410966","0.00491131","0.00121325","0.00409615","145.829","."
"61","Jul 29, 2018","0.00854771956801","0.0086184097454","0.00410726014525","0.00410726014525","165.835006714","."
"62","Jul 28, 2018","0.00833064969629","0.00854140985757","0.0083192801103","0.00851344969124","6.65277004242","."
"63","Jul 27, 2018","0.00826761033386","0.00848584994674","0.00813630968332","0.00848584994674","5.8095498085","."
"64","Jul 26, 2018","0.00866170972586","0.011551800184","0.00818955991417","0.00827211979777","10.294500351","."
"65","Jul 25, 2018","0.00918721966445","0.00940077006817","0.00847996026278","0.00866475980729","5.0097899437","."
"66","Jul 24, 2018","0.0091594196856","0.00936137977988","0.00908695999533","0.00936054997146","8.61608982086","."
"67","Jul 23, 2018","0.010797300376","0.0113578001037","0.010797300376","0.0112404003739","2.56798005104","."
"68","Jul 22, 2018","0.0109866997227","0.0110179996118","0.0107655003667","0.0108099002391","2.46960997581","."
"69","Jul 21, 2018","0.0110012004152","0.0111502995715","0.0108586000279","0.0111071001738","9.91555023193","."
"70","Jul 20, 2018","0.0112084001303","0.0114676998928","0.0109372995794","0.0110037997365","9.82332038879","."
"71","Jul 19, 2018","0.0110582998022","0.0112607004121","0.0109449997544","0.0111998999491","9.99835968018","."
"72","Jul 18, 2018","0.0109871001914","0.0113447997719","0.0109126996249","0.0110636996105","3.83533000946","."
"73","Jul 17, 2018","0.0102340998128","0.0111082997173","0.0101226000115","0.0109917996451","4.26886987686","."
"74","Jul 16, 2018","0.0129816001281","0.0130273997784","0.00916538015008","0.0102596003562","27.1390991211","."
"75","Jul 15, 2018","0.0127815995365","0.0130519997329","0.0127390995622","0.0129672000185","23.6215000153","."
"76","Jul 14, 2018","0.0099166398868","0.0128856003284","0.00985805969685","0.0127847995609","23.2893009186","."
"77","Jul 13, 2018","0.00992579013109","0.0100344000384","0.00982857029885","0.00994427967817","4.81997013092","."
"78","Jul 12, 2018","0.00670931022614","0.00670931022614","0.00647167023271","0.00650350004435","12.1505002975","."
"79","Jul 11, 2018","0.00663502002135","0.00675350986421","0.00663502002135","0.00671077985317","12.5377998352","."
"80","Jul 10, 2018","0.00670719984919","0.00673876982182","0.00663219019771","0.00663476018235","12.3957996368","."
"81","Jul 09, 2018","0.00912175979465","0.00914472993463","0.00909090042114","0.00913378037512","7.27444982529","."
"82","Jul 08, 2018","0.00919167976826","0.00920999981463","0.00910796038806","0.0091237295419","7.26644992828","."
"83","Jul 07, 2018","0.0122747998685","0.0122920004651","0.008864229545","0.00920202955604","22.3663005829","."
"84","Jul 06, 2018","0.0122127002105","0.0122956000268","0.0122127002105","0.0122956000268","7.37733983994","."
"85","Jul 05, 2018","0.00882680993527","0.00891589000821","0.00876749958843","0.00889610964805","3.36824011803","."
"86","Jul 04, 2018","0.00871037039906","0.00910027977079","0.00862468965352","0.00880805030465","3.33489990234","."
"87","Jul 03, 2018","0.0079568400979","0.0131582999602","0.00795616023242","0.00871372036636","3.29918003082","."
"88","Jul 02, 2018","0.0125662004575","0.0125745004043","0.00793682038784","0.0079942503944","88.4593963623","."
"89","Jul 01, 2018","0.0118803996593","0.0126571999863","0.0117793995887","0.0125647997484","3.76944994926","."
"90","Jun 30, 2018","0.0118906004354","0.0119198001921","0.0117563996464","0.011877800338","3.14039993286","."
"91","Jun 29, 2018","0.0117370001972","0.0118461996317","0.0116034997627","0.0117653999478","2.75429010391","."
"92","Jun 28, 2018","0.012267800048","0.0123038999736","0.0116632999852","0.0117295002565","2.74587011337","."
"93","Jun 27, 2018","0.0121520003304","0.0123220998794","0.0120304003358","0.0122635001317","2.87087011337","."
"94","Jun 26, 2018","0.0124962003902","0.0125451004133","0.0123076997697","0.012381600216","12.4041996002","."
"95","Jun 25, 2018","0.0123012000695","0.0126317003742","0.0121940998361","0.0124962003902","12.5191001892","."
"96","Jun 24, 2018","0.0118393003941","0.0125762997195","0.0116122001782","0.0123250000179","15.6364002228","."
"97","Jun 23, 2018","0.0121039003134","0.012322800234","0.0120828999206","0.0122456001118","54.2695007324","."
