"","Date","Open","High","Low","Close","Vol","Cap"
"1","Jul 03, 2019","119.334222664","123.736398992","118.372245197","122.564113507","4529682890.31","7661188686.13"
"2","Jul 02, 2019","122.556334597","123.293391449","112.647943139","119.243699452","4761878443.47","7451762462.54"
"3","Jul 01, 2019","122.11413236","126.024366919","114.221352851","122.583715294","5034162435.63","7658690466.46"
"4","Jun 30, 2019","133.724641898","136.25967859","120.4409853","122.249117942","5525273220.32","7636046758.42"
"5","Jun 29, 2019","120.155097644","135.744491886","116.219249168","133.662787288","5745785825.27","8347117542.22"
"6","Jun 28, 2019","114.411109075","122.023278669","113.466741431","120.150093541","4683311766.22","7501601230.38"
"7","Jun 27, 2019","131.223004381","132.042845523","110.665875426","114.404768324","5588611122.23","7141234400.19"
"8","Jun 26, 2019","136.477004873","138.321605051","128.944088488","131.265098175","5565887284.84","8191677322.78"
"9","Jun 25, 2019","135.580947548","138.124554001","130.885693243","136.489390067","4411092399.71","8515726713.42"
"10","Jun 24, 2019","136.920871282","138.689013862","132.832483644","135.532759271","3907725104.57","8454028779.55"
"11","Jun 23, 2019","141.94515635","142.560118448","136.321528791","136.882167747","3998980168.48","8536077179.26"
"12","Jun 22, 2019","139.036962054","146.434680297","138.479739363","141.90304461","5488615001.82","8847068563.79"
"13","Jun 21, 2019","135.508520475","141.073477418","135.508520475","138.883765671","4378260962.93","8656823082.62"
"14","Jun 20, 2019","136.602272727","137.083589736","132.643073261","135.479836064","3880682308.14","8442646196.59"
"15","Jun 19, 2019","135.152661887","139.340609589","134.03050758","136.603195708","4383960510.05","8510498678.41"
"16","Jun 18, 2019","134.472097376","135.92283205","129.747151968","135.158731405","3720828768.62","8418405569.54"
"17","Jun 17, 2019","137.129940539","137.277322897","133.050307558","134.438098499","3230230842.72","8371507503.96"
"18","Jun 16, 2019","138.148788673","138.79447713","134.540837799","137.122251868","4372645800.6","8536706966.92"
"19","Jun 15, 2019","133.179805718","139.18627654","133.143962234","138.1270843","4329002012.53","8597209350.7"
"20","Jun 14, 2019","131.31400491","133.177451744","126.861785633","133.053272851","4352005824.2","8279439668.96"
"21","Jun 13, 2019","135.682119509","136.886004349","129.135824969","131.351766243","4947794845.22","8171623427.09"
"22","Jun 12, 2019","136.085829629","142.706405097","132.23800442","135.653751666","5855623530.11","8437276929.97"
"23","Jun 11, 2019","129.26413353","138.148742967","125.962521917","136.029740452","5441787587.34","8458730744.54"
"24","Jun 10, 2019","114.995560338","129.708819157","113.1698972","129.071435158","5449266883.9","8024339041.41"
"25","Jun 09, 2019","118.586055526","119.133209309","112.568814491","115.132302792","4360301111.39","7156126159.81"
"26","Jun 08, 2019","117.278075717","119.49824867","114.455493716","118.552035593","4689557936.47","7366835517.33"
"27","Jun 07, 2019","110.975149349","120.6396915","109.586572799","117.374409829","5140908476.52","7291832560.83"
"28","Jun 06, 2019","103.80683349","111.334335757","102.088146268","111.107226389","4142250661.76","6900772771.88"
"29","Jun 05, 2019","102.119497337","104.844002064","101.218843241","103.849290191","3585162871.53","6448454321.62"
"30","Jun 04, 2019","107.37293647","107.37293647","99.2943151513","102.087823513","4316694182.65","6337614782.6"
"31","Jun 03, 2019","114.668711051","115.905778066","106.462446337","107.468575541","3832352495.94","6670082969.55"
"32","Jun 02, 2019","112.710168277","116.246992939","111.912217976","114.702837715","3434073036.5","7117549253.45"
"33","Jun 01, 2019","114.466252669","115.606909579","111.679024564","112.619266718","3807158511.11","6986544718.35"
