"","Date","Open","High","Low","Close","Vol","Cap"
"1","Jul 03, 2019","135.060044958","147.044578031","134.111082876","145.864108964","4313.16631208","29263593.2494"
"2","Jul 02, 2019","132.007704964","136.301173593","103.187497667","135.061556883","8219.97197226","27095720.1968"
"3","Jul 01, 2019","136.160487366","143.362114018","126.429997212","131.978117891","1561.34685187","26476493.3704"
"4","Jun 30, 2019","151.073405564","154.104096927","135.268840665","136.022932176","47.0755858856","27287268.1811"
"5","Jun 29, 2019","154.823171192","154.970919036","142.14054273","151.12751324","215.12464796","30316649.3921"
"6","Jun 28, 2019","139.268272892","155.201465815","135.618379609","154.823169975","2676.43908584","31057288.1562"
"7","Jun 27, 2019","162.417332642","166.20314353","131.210013645","139.268272892","9549.88223203","27936327.2221"
"8","Jun 26, 2019","159.162171742","170.606379394","147.916183973","162.346580857","4268.82282756","32564915.8256"
"9","Jun 25, 2019","156.315593763","160.572384378","155.122045025","159.192380766","1598.38524952","31931455.8888"
"10","Jun 24, 2019","157.161568607","157.398685688","148.439985145","156.269298244","5379.02610337","31344355.4368"
"11","Jun 23, 2019","155.15428776","163.152141929","152.739913599","157.105012475","985.3811934","31511226.5713"
"12","Jun 22, 2019","146.865503001","161.978268796","146.136066651","155.128493762","1768.8194939","31114053.9729"
"13","Jun 21, 2019","137.299745931","146.865503001","137.250170026","146.865503001","1338.85901616","29456062.2086"
"14","Jun 20, 2019","134.85537963","138.297040437","133.116308893","137.202649184","215.165433318","27517377.249"
"15","Jun 19, 2019","131.487680856","134.867296584","131.365193292","134.856976804","1118.6599454","27046278.9477"
"16","Jun 18, 2019","135.18606941","135.511840807","130.465455467","131.398828558","614.221067955","26352108.8502"
"17","Jun 17, 2019","129.679318228","136.502445472","129.607282333","135.18606941","562.508607589","27110998.644"
"18","Jun 16, 2019","128.089817608","135.311838806","127.644798813","129.573308463","8009.07454656","25984764.9365"
"19","Jun 15, 2019","125.843346712","129.342168734","124.8960074","128.089817608","2211.67537916","25686636.5101"
"20","Jun 14, 2019","121.349497734","126.283966766","120.344931821","125.855148004","9028.2636597","25237909.2176"
"21","Jun 13, 2019","117.944965781","125.127047645","117.944965781","123.807824429","12005.5341555","24826772.1788"
"22","Jun 12, 2019","114.87547854","119.483518884","113.96361181","118.261894207","13660.0170227","23714109.3646"
"23","Jun 11, 2019","117.292632897","117.709110787","111.290851635","114.87547854","12298.5833132","23034515.2238"
"24","Jun 10, 2019","114.235944806","118.447537514","111.364220693","117.181325679","1760.60779704","23496307.8533"
"25","Jun 09, 2019","115.480635653","118.209145706","112.370189976","114.235944806","1972.34972895","22905170.7309"
