"","Date","Open","High","Low","Close","Vol","Cap"
"1","Jul 03, 2019","7.92220843638e-06","9.00492506235e-06","6.78293852301e-06","6.81597846852e-06","207.046948423","251995.136094"
"2","Jul 02, 2019","7.78192600573e-06","8.01593529619e-06","6.46535292426e-06","7.91229713219e-06","231.028361009","292527.38883"
"3","Jul 01, 2019","7.7404703912e-06","7.96170623871e-06","7.30983901287e-06","7.78192600573e-06","230.504508216","287707.407291"
"4","Jun 30, 2019","8.30940056437e-06","1.15682733942e-05","7.65704103587e-06","7.74546004949e-06","225.219240699","286359.215528"
"5","Jun 29, 2019","9.34645555422e-06","2.00729868289e-05","7.86079103261e-06","8.30802617946e-06","225.074641852","307157.979213"
"6","Jun 28, 2019","7.00101740393e-06","1.64110381671e-05","6.43527878204e-06","9.34645555422e-06","197.140164544","345549.994093"
"7","Jun 27, 2019","1.17875120133e-05","1.50190754929e-05","6.97311034492e-06","7.00101740393e-06","156.682379611","258836.25162"
"8","Jun 26, 2019","8.50948978931e-06","1.18115836513e-05","7.24052727953e-06","1.17984904895e-05","138.349198373","436204.750424"
"9","Jun 25, 2019","4.42677383153e-05","4.42711315031e-05","6.53678080821e-06","8.51412699603e-06","146.413701112","314777.779588"
"10","Jun 24, 2019","2.39310903525e-05","4.45866086957e-05","6.32111478894e-06","4.4266469245e-05","260.400397264","1636585.98101"
"11","Jun 23, 2019","1.40702499102e-05","4.58597154165e-05","7.27292811853e-06","2.3926038778e-05","319.729671572","884575.17172"
"12","Jun 22, 2019","5.95577472018e-06","1.59919942556e-05","5.93960960625e-06","1.40697061205e-05","172.699591762","520174.392682"
"13","Jun 21, 2019","1.73254189385e-05","1.7399118484e-05","5.82510482157e-06","5.95577472018e-06","175.826645792","220192.338716"
"14","Jun 20, 2019","6.31282146967e-06","2.1596535547e-05","5.23364506645e-06","1.73274670695e-05","433.72588739","640617.83283"
"15","Jun 19, 2019","5.64391297916e-06","7.66490604773e-06","5.15723466157e-06","6.31421868364e-06","156.118469213","233444.453729"
"16","Jun 18, 2019","4.25706122426e-06","6.58144045963e-06","3.7629230194e-06","5.64669099491e-06","119.220438153","208765.131409"
"17","Jun 17, 2019","5.59356520686e-06","6.21554145696e-06","4.23110697831e-06","4.25706122426e-06","100.864667218","157388.804565"
"18","Jun 16, 2019","5.4964699025e-06","6.36632672925e-06","4.30778293208e-06","5.59528077761e-06","159.603493547","206864.432007"
"19","Jun 15, 2019","9.84460947967e-06","1.18192742491e-05","5.43787007253e-06","5.4964699025e-06","129.179120672","203211.271859"
"20","Jun 14, 2019","4.00960923044e-06","9.85559333381e-06","3.18903295975e-06","9.8437365276e-06","73.4575879812","363935.080393"
"21","Jun 13, 2019","4.12867516067e-06","4.41018495516e-06","3.55456322741e-06","4.0091687097e-06","97.4723031614","148223.911753"
"22","Jun 12, 2019","3.06102955984e-06","4.24773576513e-06","3.03566970159e-06","4.1317120169e-06","369.423372221","152754.488889"
"23","Jun 11, 2019","3.21702620712e-06","4.42932684246e-06","2.85667104648e-06","3.06102955984e-06","232.330070264","113170.03781"
"24","Jun 10, 2019","3.65907443136e-06","3.94319816173e-06","3.12642342081e-06","3.21741089153e-06","64.6123055682","118951.648446"
"25","Jun 09, 2019","4.25159765588e-06","5.65674218654e-06","3.57619843656e-06","3.65907443136e-06","193.935883162","135280.494001"
"26","Jun 08, 2019","4.48255416331e-06","5.86607185503e-06","3.44697259228e-06","4.25122394174e-06","89.3359240953","157172.991517"
"27","Jun 07, 2019","4.16107106614e-06","4.56101962661e-06","4.16030940521e-06","4.48777593809e-06","115.209804985","165918.60972"
"28","Jun 06, 2019","4.25485941452e-06","4.32489170495e-06","4.02106364908e-06","4.16276031358e-06","156.573083717","153902.38125"
"29","Jun 05, 2019","8.0951731348e-06","8.24725900263e-06","4.15460195848e-06","4.25416179019e-06","57.7430857853","157281.606445"
"30","Jun 04, 2019","2.13069642354e-05","2.78299798049e-05","4.54523631558e-06","8.09545934586e-06","76.8875764799","299299.112765"
"31","Jun 03, 2019","6.73141346885e-06","2.25417752834e-05","4.22655068317e-06","2.13355690573e-05","109.52328894","788802.291579"
"32","Jun 02, 2019","3.56491612334e-06","6.73425628573e-06","3.56491612334e-06","6.7322883894e-06","112.371995067","248901.001075"
"33","Jun 01, 2019","4.67699797211e-06","4.70786016449e-06","3.33313320343e-06","3.56428687191e-06","61.0425551693","131776.079274"
"34","May 31, 2019","6.14651636428e-06","6.21188904591e-06","3.2499818358e-06","4.67805142795e-06","100.987196757","172953.327584"
"35","May 30, 2019","5.71135925252e-06","7.5555458227e-06","4.5526504079e-06","6.14651636428e-06","369.779709046","227244.28625"
"36","May 29, 2019","6.41827774013e-06","7.0536650481e-06","5.6994854254e-06","5.70962561609e-06","75.3962063632","211091.896591"
"37","May 28, 2019","6.2300223533e-06","7.48946289165e-06","6.08752307247e-06","6.42083778115e-06","153.091862912","237386.286637"
"38","May 27, 2019","5.9310465521e-06","7.30242318915e-06","5.23293263894e-06","6.23282871709e-06","75.1705185725","230435.359567"
"39","May 26, 2019","4.32556133214e-06","5.96188903319e-06","4.32556133214e-06","5.93429999918e-06","105.495521529","219398.385264"
"40","May 25, 2019","6.68307488812e-06","7.41283297515e-06","4.28299835026e-06","4.33064756727e-06","51.7262807557","160109.379091"
"41","May 24, 2019","1.11611650261e-05","1.60072613422e-05","6.65644558724e-06","6.68307488812e-06","94.0854030997","247081.516933"
"42","May 23, 2019","5.09417165044e-06","1.12361932913e-05","4.74718425917e-06","1.11595880685e-05","123.578945749","412583.727021"
